word,layer_1,layer_2
pain,0.023,0.037
injury,0.037,0.023
clear,0.022,0.025
retained,0.01,0.04
retaining,0.007,0.01
wrong,0.034,0.042
stretch,0.08,0.032
exist,0.026,0.03
laying,0.018,0.036
lay,0.033,0.041
approach,0.047,0.093
hole,0.007,0.006
pointed,0.018,0.04
hand,0.052,0.044
old,0.009,0.015
improve,0.012,0.009
damaging,0.105,0.085
causing,0.035,0.033
breaking,0.03,0.041
building,0.021,0.028
floor,0.064,0.031
room,0.03,0.029
housing,0.011,0.011
functioning,0.011,0.023
inherent,0.083,0.122
items,0.007,0.005
Remove,0.004,0.001
erasing,0.01,0.019
upper,0.019,0.035
nose,0.048,0.029
shine,0.067,0.049
former,0.012,0.016
speed,0.007,0.009
facilitate,0.001,0.009
swing,0.063,0.063
miss,0.108,0.109
third,0.009,0.011
striking,0.001,0.002
swinging,0.026,0.024
charged,0.071,0.053
alter,0.009,0.002
images,0.004,0.006
visible,0.049,0.199
solutions,0.018,0.024
sort,0.05,0.048
tree,0.062,0.044
tongue,0.052,0.018
generated,0.001,0.033
competition,0.025,0.02
race,0.026,0.024
conflict,0.037,0.032
opposed,0.018,0.014
acting,0.026,0.016
opposes,0.04,0.024
Start,0.023,0.022
abruptly,0.034,0.065
local,0.043,0.041
announcement,0.008,0.008
making,0.005,0.013
stabbing,0.016,0.017
gaining,0.029,0.057
entrance,0.017,0.008
spend,0.019,0.008
prison,0.047,0.042
labor,0.034,0.028
contain,0.042,0.043
informing,0.097,0.108
verbal,0.011,0.011
report,0.015,0.026
request,0.035,0.039
Put,0.048,0.011
termination,0.005,0.003
relationship,0.025,0.016
destruction,0.052,0.053
destroy,0.014,0.025
ride,0.013,0.015
bicycle,0.032,0.028
motorcycle,0.034,0.028
principal,0.006,0.018
earn,0.01,0.008
your,0.005,0.005
you,0.004,0.017
criticism,0.068,0.078
committee,0.032,0.028
powers,0.041,0.053
composition,0.029,0.028
gear,0.034,0.051
meal,0.012,0.033
plug,0.029,0.065
fill,0.016,0.004
incite,0.02,0.006
announce,0.008,0.018
copy,0.092,0.1
following,0.008,0.02
computers,0.003,0.006
exchange,0.019,0.022
digital,0.008,0.008
them,0.006,0.012
networks,0.003,0.02
smaller,0.017,0.024
play,0.039,0.042
role,0.015,0.015
land,0.048,0.063
extended,0.018,0.045
mix,0.051,0.019
hope,0.035,0.051
armed,0.014,0.027
metal,0.025,0.025
summary,0.007,0.021
affected,0.098,0.126
affect,0.011,0.023
corn,0.015,0.007
serious,0.009,0.017
minor,0.017,0.002
excuse,0.033,0.001
signs,0.026,0.055
symptoms,0.01,0.009
assistance,0.034,0.027
employment,0.029,0.033
consequence,0.02,0.006
Travel,0.043,0.031
foot,0.022,0.013
cross,0.017,0.013
band,0.1,0.106
leather,0.025,0.045
neck,0.036,0.015
harness,0.071,0.119
equip,0.02,0.006
specifically,0.015,0.022
reason,0.017,0.01
solution,0.037,0.031
Move,0.017,0.023
agency,0.016,0.017
communicated,0.033,0.092
constituent,0.009,0.02
decree,0.03,0.041
issue,0.036,0.067
generally,0.016,0.019
acoustic,0.122,0.185
members,0.023,0.011
all,0.013,0.012
races,0.184,0.22
ethnic,0.048,0.064
groups,0.027,0.027
pounding,0.017,0.018
abrading,0.091,0.241
particles,0.036,0.04
baseball,0.013,0.016
exhaust,0.149,0.045
allowing,0.002,0.002
pull,0.017,0.012
angle,0.012,0.013
hook,0.031,0.02
drawn,0.028,0.029
bonds,0.029,0.028
woman,0.026,0.04
fast,0.07,0.066
hostility,0.058,0.012
oppose,0.011,0.02
complex,0.043,0.03
putting,0.007,0.019
components,0.007,0.017
providing,0.002,0.01
actors,0.001,0.003
personal,0.006,0.007
restaurant,0.032,0.04
harder,0.026,0.016
story,0.017,0.012
placing,0.014,0.043
Part,0.035,0.022
obtain,0.011,0.016
buy,0.008,0.008
candidates,0.072,0.067
nominated,0.015,0.018
air,0.038,0.02
unite,0.077,0.024
materials,0.02,0.019
firmly,0.135,0.194
wider,0.003,0.008
extensive,0.018,0.02
broader,0.223,0.335
unrestricted,0.062,0.175
claim,0.021,0.018
taking,0.002,0.005
base,0.068,0.075
runner,0.014,0.032
him,0.005,0.013
tag,0.004,0.048
reflected,0.062,0.112
competitor,0.009,0.004
player,0.015,0.021
Either,0.117,0.133
categories,0.023,0.028
female,0.008,0.003
properties,0.012,0.008
combining,0.032,0.044
8,0.018,0.013
depth,0.1,0.091
coming,0.01,0.022
rest,0.024,0.016
anger,0.007,0.009
tear,0.081,0.22
spiral,0.005,0.005
Release,0.025,0.016
energy,0.015,0.014
reaction,0.054,0.138
metaphorical,0.04,0.036
bridge,0.092,0.115
highest,0.016,0.02
bid,0.033,0.029
becomes,0.015,0.004
contract,0.018,0.021
tricks,0.017,0.025
must,0.004,0.005
campaign,0.023,0.029
war,0.042,0.029
respond,0.008,0.021
stimulus,0.029,0.016
skin,0.02,0.009
caused,0.05,0.018
exposure,0.012,0.006
causal,0.025,0.041
conditioner,0.004,0.014
smooth,0.142,0.155
shiny,0.024,0.123
apply,0.006,0.004
extreme,0.005,0.004
testing,0.05,0.041
proof,0.053,0.036
admit,0.024,0.007
accounting,0.031,0.016
sell,0.018,0.015
promote,0.022,0.019
darkness,0.009,0.013
color,0.053,0.028
heavily,0.018,0.039
fist,0.033,0.032
bat,0.058,0.051
willing,0.006,0.024
attitude,0.011,0.03
prior,0.02,0.054
working,0.017,0.017
eat,0.03,0.014
bed,0.07,0.053
grip,0.098,0.075
string,0.012,0.004
impression,0.064,0.082
try,0.02,0.021
free,0.024,0.017
Express,0.061,0.004
uncertainty,0.049,0.059
serving,0.029,0.066
day,0.012,0.009
today,0.015,0.019
immediately,0.12,0.136
Medicine,0.078,0.136
measured,0.069,0.097
what,0.009,0.01
done,0.031,0.029
hands,0.054,0.038
lift,0.007,0.043
relieve,0.019,0.027
detailed,0.18,0.224
narrate,0.015,0.096
Any,0.035,0.001
alert,0.061,0.059
plans,0.036,0.02
efforts,0.014,0.013
hoax,0.021,0.032
raising,0.04,0.031
stakes,0.128,0.068
2,0.018,0.015
card,0.007,0.005
foreign,0.009,0.008
incorrect,0.065,0.036
produced,0.052,0.048
occurrence,0.028,0.004
pleasure,0.068,0.056
pleasing,0.002,0.003
soft,0.009,0.007
inability,0.034,0.06
heart,0.043,0.017
pump,0.012,0.015
sustain,0.016,0.015
functions,0.063,0.034
enough,0.043,0.021
normal,0.015,0.035
bodily,0.002,0.011
vibrate,0.0,0.017
definite,0.185,0.166
warn,0.005,0.019
faster,0.015,0.008
Supply,0.035,0.059
ready,0.007,0.004
parties,0.008,0.011
protest,0.029,0.021
specified,0.023,0.027
thick,0.008,0.023
hastily,0.033,0.083
hurt,0.057,0.044
tell,0.007,0.016
spread,0.013,0.012
cure,0.015,0.015
treatment,0.039,0.031
illness,0.035,0.035
sweeping,0.005,0.028
address,0.027,0.021
temporarily,0.02,0.134
leaves,0.019,0.014
exact,0.02,0.014
thread,0.018,0.01
dots,0.109,0.095
relevant,0.035,0.026
news,0.018,0.007
energetic,0.014,0.017
crossing,0.034,0.047
cook,0.029,0.021
boils,0.067,0.103
bubbles,0.127,0.095
map,0.033,0.028
details,0.043,0.054
purposes,0.047,0.013
courses,0.046,0.07
demanded,0.029,0.05
duties,0.018,0.04
questions,0.011,0.018
issues,0.031,0.058
Lead,0.015,0.037
lead,0.008,0.003
accessible,0.008,0.032
increases,0.083,0.122
mathematical,0.009,0.063
shoe,0.085,0.075
federal,0.01,0.011
stimulation,0.068,0.035
Revolution,0.042,0.037
mathematics,0.015,0.01
representing,0.013,0.026
this,0.007,0.011
demanding,0.04,0.11
factors,0.018,0.022
class,0.022,0.02
total,0.048,0.04
input,0.063,0.124
flight,0.04,0.016
tin,0.009,0.018
chain,0.042,0.024
forming,0.03,0.061
constant,0.032,0.04
cooling,0.002,0.011
paint,0.048,0.054
attend,0.017,0.017
fasten,0.025,0.017
fight,0.078,0.095
book,0.028,0.018
active,0.068,0.126
sin,0.052,0.056
evil,0.021,0.013
delivering,0.075,0.136
declare,0.011,0.004
fat,0.034,0.058
oil,0.012,0.012
pruning,0.018,0.01
polishing,0.055,0.111
perfect,0.006,0.045
central,0.008,0.011
approximately,0.034,0.012
sovereign,0.029,0.037
finger,0.036,0.027
next,0.018,0.035
thumb,0.027,0.018
department,0.05,0.046
consideration,0.007,0.009
excessive,0.031,0.044
hiring,0.132,0.075
annoying,0.039,0.063
sink,0.026,0.024
argument,0.013,0.006
aside,0.032,0.03
intend,0.013,0.017
register,0.189,0.131
participant,0.102,0.077
print,0.041,0.026
birds,0.035,0.056
posts,0.034,0.033
stable,0.22,0.298
arms,0.016,0.02
raised,0.013,0.019
stand,0.033,0.035
genetic,0.015,0.031
DNA,0.006,0.008
immersed,0.029,0.016
boiling,0.029,0.017
crops,0.004,0.005
channels,0.148,0.215
ditches,0.0,0.002
streams,0.138,0.124
tour,0.022,0.012
city,0.01,0.014
River,0.012,0.001
southern,0.011,0.026
England,0.027,0.023
chart,0.036,0.017
dimensions,0.026,0.02
movements,0.035,0.052
Take,0.083,0.009
vital,0.024,0.047
inadequate,0.048,0.036
chin,0.059,0.016
untrue,0.117,0.099
winding,0.025,0.002
twisting,0.009,0.014
compensate,0.003,0.007
signals,0.014,0.046
code,0.017,0.013
arm,0.025,0.048
hail,0.016,0.05
snow,0.059,0.036
lightning,0.053,0.066
rain,0.075,0.061
built,0.044,0.05
terminal,0.042,0.027
phase,0.057,0.067
let,0.021,0.023
champion,0.037,0.075
advantage,0.009,0.01
changes,0.042,0.057
starts,0.031,0.024
flying,0.032,0.045
He,0.053,0.044
said,0.023,0.038
needs,0.009,0.035
technology,0.079,0.106
laced,0.029,0.015
Nasdaq,0.053,0.083
Composite,0.035,0.046
Index,0.074,0.036
.IXIC,0.07,0.007
0.11,0.095,0.035
percent,0.089,0.063
broad,0.06,0.159
Standard,0.173,0.24
Poor,0.22,0.188
500,0.338,0.313
.SPX,0.039,0.008
3,0.009,0.008
It,0.03,0.045
huge,0.01,0.013
black,0.025,0.053
Arthur,0.022,0.04
Jr.,0.013,0.005
controlled,0.022,0.021
paper,0.043,0.027
since,0.027,0.033
scandal,0.012,0.02
Chairman,0.04,0.043
William,0.072,0.085
there,0.043,0.063
cop,0.014,0.009
I,0.009,0.018
think,0.015,0.013
Vivendi,0.032,0.069
shares,0.061,0.072
euros,0.153,0.278
Paris,0.017,0.011
Monday,0.013,0.014
In,0.07,0.062
New,0.035,0.05
York,0.084,0.083
were,0.004,0.007
$,0.027,0.055
Myanmar,0.018,0.028
pro,0.045,0.047
democracy,0.015,0.019
Aung,0.033,0.066
San,0.099,0.018
Suu,0.031,0.008
Kyi,0.005,0.006
late,0.03,0.071
Friday,0.013,0.018
detention,0.06,0.073
recovering,0.011,0.038
surgery,0.069,0.053
hospital,0.023,0.024
her,0.016,0.017
arrest,0.01,0.011
she,0.002,0.012
underwent,0.023,0.076
spokesman,0.01,0.009
declined,0.058,0.071
Thursday,0.012,0.015
John,0.021,0.011
commission,0.086,0.054
Washington,0.014,0.01
Mr.,0.003,0.009
Bremer,0.048,0.062
initiative,0.02,0.029
launch,0.018,0.024
US$,0.038,0.053
70,0.012,0.021
million,0.008,0.008
nationwide,0.032,0.093
weeks,0.008,0.015
neighborhoods,0.108,0.175
build,0.009,0.011
projects,0.026,0.041
he,0.003,0.012
would,0.015,0.015
Iraq,0.007,0.009
gave,0.009,0.01
afternoon,0.022,0.036
trading,0.078,0.079
Europe,0.017,0.014
France,0.015,0.008
advanced,0.06,0.184
Britain,0.011,0.014
100,0.015,0.016
gained,0.1,0.131
0.7,0.059,0.03
while,0.013,0.041
Germany,0.008,0.007
index,0.048,0.032
rose,0.043,0.052
1.3,0.19,0.094
0.2,0.043,0.015
later,0.008,0.01
learned,0.004,0.013
incident,0.045,0.042
was,0.003,0.005
found,0.013,0.015
powerful,0.007,0.015
Kerry,0.02,0.028
Bob,0.041,0.038
Graham,0.062,0.044
speak,0.013,0.021
shows,0.022,0.012
Florida,0.007,0.005
also,0.003,0.007
genes,0.024,0.027
Y,0.023,0.029
may,0.008,0.013
gender,0.084,0.134
differences,0.072,0.053
One,0.044,0.049
studied,0.007,0.008
defining,0.06,0.162
But,0.026,0.014
earlier,0.017,0.02
am,0.03,0.055
themselves,0.012,0.025
south,0.007,0.008
east,0.012,0.012
a.m.,0.024,0.015
p.m.,0.016,0.017
southeast,0.042,0.054
Jones,0.251,0.287
analyst,0.016,0.034
Grant,0.003,0.011
we,0.003,0.01
whether,0.013,0.013
U.N.,0.009,0.014
Yes,0.04,0.023
sought,0.009,0.01
United,0.087,0.052
States,0.02,0.014
Feb.,0.009,0.014
25,0.017,0.01
Wednesday,0.013,0.016
Catholic,0.009,0.024
distribute,0.002,0.008
his,0.009,0.009
won,0.006,0.008
both,0.011,0.016
singing,0.014,0.016
If,0.038,0.027
Could,0.029,0.015
She,0.049,0.057
evening,0.033,0.013
Governor,0.013,0.014
estimated,0.009,0.024
yesterday,0.015,0.02
fires,0.005,0.023
could,0.004,0.007
nearly,0.009,0.006
billion,0.021,0.024
State,0.022,0.01
officials,0.032,0.018
Corp.,0.021,0.017
pledged,0.011,0.003
least,0.061,0.057
5,0.03,0.023
requested,0.022,0.032
funds,0.046,0.071
South,0.017,0.013
Asia,0.018,0.014
1.1,0.035,0.025
infected,0.013,0.025
Of,0.128,0.073
hour,0.039,0.017
Israeli,0.013,0.02
helicopter,0.017,0.018
fired,0.027,0.04
missiles,0.019,0.017
Gaza,0.005,0.007
City,0.032,0.009
Hamas,0.006,0.006
five,0.007,0.004
Palestinian,0.006,0.011
sources,0.08,0.076
Executive,0.017,0.012
finding,0.034,0.05
merchandising,0.017,0.025
officer,0.014,0.011
ones,0.035,0.042
prices,0.024,0.028
cheap,0.014,0.024
hotel,0.022,0.036
deals,0.008,0.023
decades,0.004,0.005
killed,0.045,0.048
"10,000",0.005,0.017
resource,0.036,0.026
rich,0.101,0.16
province,0.056,0.088
civilians,0.031,0.048
More,0.049,0.023
hurricane,0.017,0.033
storm,0.011,0.034
season,0.038,0.039
mid,0.013,0.005
Texas,0.009,0.008
coast,0.073,0.047
July,0.007,0.006
15,0.009,0.011
classified,0.011,0.044
maximum,0.005,0.03
sustained,0.072,0.193
winds,0.035,0.085
125,0.044,0.015
saying,0.006,0.011
broke,0.005,0.008
cutting,0.038,0.051
decisions,0.024,0.02
magazine,0.017,0.014
figures,0.016,0.016
Edition,0.029,0.02
processor,0.012,0.011
300,0.007,0.006
named,0.008,0.011
user,0.028,0.065
version,0.009,0.009
Oracle,0.016,0.024
No,0.011,0.007
U.S.,0.01,0.027
drink,0.036,0.015
maker,0.027,0.052
Inc.,0.033,0.039
Wall,0.019,0.011
Street,0.042,0.024
waiting,0.007,0.033
earnings,0.013,0.008
Microsoft,0.007,0.01
Virtual,0.041,0.083
PC,0.013,0.023
bought,0.011,0.006
aides,0.041,0.043
trigger,0.006,0.015
chaos,0.039,0.04
private,0.017,0.063
His,0.016,0.006
Sea,0.037,0.011
December,0.017,0.008
Center,0.036,0.038
Williams,0.013,0.003
inside,0.01,0.016
apartment,0.004,0.007
Bay,0.068,0.021
St.,0.017,0.035
man,0.039,0.054
drill,0.048,0.034
September,0.038,0.065
11,0.015,0.012
terrorist,0.017,0.029
attacks,0.038,0.044
nation,0.036,0.014
Sept.,0.008,0.006
until,0.006,0.009
October,0.056,0.086
endorse,0.022,0.036
announced,0.006,0.008
confirmed,0.033,0.031
operated,0.004,0.007
coach,0.033,0.031
passengers,0.008,0.02
mixed,0.025,0.039
operating,0.007,0.026
they,0.004,0.008
17,0.016,0.013
reported,0.011,0.009
World,0.033,0.029
Health,0.013,0.008
Iraqi,0.004,0.015
expected,0.033,0.018
visit,0.019,0.019
Yemen,0.006,0.011
Bahrain,0.001,0.003
Beirut,0.013,0.022
Syria,0.004,0.006
General,0.02,0.029
told,0.043,0.033
reporters,0.019,0.017
n't,0.016,0.014
rules,0.019,0.022
At,0.059,0.054
Richard,0.017,0.012
chairman,0.036,0.014
Joint,0.046,0.051
son,0.046,0.021
Mayor,0.016,0.023
James,0.04,0.028
ordered,0.043,0.064
flags,0.007,0.005
flown,0.012,0.022
30,0.012,0.008
staff,0.009,0.014
Tom,0.022,0.048
got,0.024,0.02
national,0.007,0.018
attends,0.028,0.052
manager,0.023,0.013
operations,0.007,0.014
Ohio,0.008,0.003
based,0.011,0.006
East,0.055,0.032
Central,0.027,0.021
Area,0.071,0.009
Council,0.039,0.016
scenario,0.009,0.01
investigators,0.023,0.029
considering,0.008,0.016
They,0.008,0.007
only,0.005,0.006
ozone,0.004,0.002
breaks,0.023,0.041
cholesterol,0.022,0.017
And,0.141,0.109
samples,0.006,0.023
developed,0.014,0.024
leaders,0.028,0.046
industry,0.024,0.022
called,0.007,0.015
14,0.02,0.025
hours,0.016,0.017
"1,000",0.018,0.019
just,0.012,0.007
Earlier,0.004,0.005
month,0.028,0.015
second,0.029,0.028
quarter,0.034,0.027
7,0.029,0.043
cents,0.013,0.026
share,0.106,0.117
Excluding,0.005,0.005
fees,0.013,0.008
charges,0.056,0.059
4,0.03,0.028
budget,0.016,0.013
comes,0.008,0.011
negotiations,0.012,0.018
Bloomberg,0.022,0.017
administration,0.032,0.012
mayor,0.021,0.021
Also,0.005,0.013
increased,0.012,0.023
risk,0.027,0.019
those,0.011,0.012
immune,0.036,0.123
systems,0.019,0.011
cancer,0.039,0.035
diabetes,0.005,0.016
AIDS,0.017,0.007
Local,0.098,0.237
police,0.022,0.018
authorities,0.013,0.008
treating,0.016,0.017
explosion,0.029,0.02
criminal,0.017,0.032
nothing,0.013,0.012
ruled,0.064,0.088
Police,0.058,0.054
Chief,0.03,0.02
Francisco,0.069,0.068
For,0.09,0.056
me,0.009,0.01
seemed,0.015,0.013
manufactured,0.122,0.179
opponents,0.019,0.062
released,0.019,0.025
Mrs,0.015,0.031
Clinton,0.022,0.03
writes,0.028,0.035
2001,0.029,0.041
2002,0.029,0.039
transfers,0.033,0.072
company,0.016,0.011
40,0.016,0.016
accounts,0.025,0.052
prosecutors,0.015,0.012
four,0.011,0.012
University,0.018,0.011
launched,0.014,0.01
1996,0.059,0.067
studies,0.023,0.031
indicated,0.037,0.093
God,0.041,0.045
walked,0.01,0.004
courtroom,0.015,0.008
supporters,0.018,0.038
Metropolitan,0.041,0.014
scene,0.049,0.025
children,0.015,0.023
aged,0.02,0.032
injuries,0.047,0.051
20,0.012,0.019
shareholders,0.001,0.015
holders,0.005,0.013
Intelligence,0.025,0.009
Committee,0.03,0.044
This,0.022,0.025
About,0.01,0.046
22,0.006,0.006
roughly,0.049,0.027
pounds,0.024,0.016
healthy,0.044,0.046
31,0.038,0.02
Americans,0.009,0.007
now,0.007,0.011
valuable,0.084,0.068
couple,0.026,0.017
Friends,0.026,0.04
Shares,0.111,0.085
Coke,0.034,0.034
Stock,0.13,0.112
Exchange,0.047,0.042
morning,0.018,0.007
Coca,0.054,0.029
Cola,0.022,0.035
34,0.063,0.04
Her,0.003,0.008
Green,0.097,0.165
Aug.,0.009,0.009
Remains,0.039,0.103
Mills,0.062,0.035
these,0.006,0.007
messages,0.019,0.053
my,0.004,0.004
everyone,0.005,0.019
Fighting,0.041,0.013
continued,0.029,0.042
western,0.007,0.011
rebel,0.007,0.006
commander,0.006,0.012
Reuters,0.042,0.033
satellite,0.035,0.015
phone,0.035,0.025
Sunday,0.017,0.016
burned,0.011,0.018
villages,0.012,0.065
bush,0.015,0.031
August,0.013,0.022
best,0.082,0.051
seen,0.017,0.027
began,0.009,0.014
1997,0.001,0.001
created,0.047,0.037
unwanted,0.002,0.01
intent,0.026,0.036
Gates,0.007,0.002
warming,0.094,0.074
us,0.01,0.012
US,0.016,0.035
Special,0.052,0.097
Forces,0.045,0.039
training,0.012,0.009
soldiers,0.025,0.032
bases,0.113,0.215
pipeline,0.037,0.066
Colombia,0.091,0.103
biggest,0.011,0.006
field,0.083,0.062
came,0.005,0.018
hearing,0.071,0.08
opinions,0.014,0.032
customers,0.008,0.01
our,0.015,0.01
spokeswoman,0.012,0.004
Wal,0.01,0.017
Mart,0.044,0.033
Lord,0.002,0.008
beginning,0.015,0.01
courts,0.021,0.014
Service,0.075,0.05
justice,0.03,0.021
We,0.038,0.028
schools,0.026,0.043
wo,0.019,0.022
nt,0.008,0.013
lawmakers,0.011,0.032
gap,0.061,0.044
middle,0.025,0.017
composite,0.151,0.146
5.2,0.026,0.029
midday,0.023,0.044
then,0.005,0.007
appealed,0.019,0.015
Supreme,0.039,0.025
Court,0.025,0.015
believe,0.016,0.015
prepared,0.022,0.008
screen,0.014,0.029
machines,0.011,0.015
2004,0.021,0.026
presidential,0.025,0.032
W.,0.004,0.079
Board,0.091,0.043
Elections,0.023,0.011
revised,0.014,0.068
Maryland,0.011,0.026
station,0.05,0.037
suspended,0.029,0.045
playing,0.018,0.025
songs,0.024,0.024
ban,0.083,0.084
imposed,0.037,0.035
President,0.03,0.035
George,0.052,0.046
Bush,0.009,0.012
radio,0.01,0.01
<,0.086,0.104
>,0.064,0.117
jumped,0.053,0.115
26,0.017,0.013
1.78,0.134,0.074
Business,0.011,0.013
online,0.009,0.021
edition,0.013,0.01
early,0.017,0.013
Online,0.076,0.057
May,0.041,0.034
19,0.024,0.021
74,0.018,0.034
4.5,0.2,0.089
Technology,0.047,0.056
dropped,0.012,0.03
23,0.025,0.014
89,0.088,0.033
27,0.014,0.01
requires,0.02,0.02
filters,0.034,0.032
lose,0.031,0.055
financing,0.081,0.102
6,0.044,0.048
ruling,0.025,0.019
install,0.003,0.005
surrender,0.021,0.023
addition,0.185,0.1
Israel,0.033,0.059
When,0.058,0.05
prime,0.049,0.054
minister,0.025,0.021
established,0.022,0.036
yes,0.024,0.019
definitely,0.007,0.018
Miller,0.016,0.018
Kazan,0.057,0.052
None,0.071,0.081
Without,0.107,0.031
Note,0.064,0.029
terrible,0.106,0.115
Masters,0.068,0.051
FBI,0.013,0.026
agents,0.017,0.029
described,0.026,0.057
Saturday,0.007,0.006
revealed,0.012,0.019
happened,0.015,0.015
California,0.005,0.006
floating,0.05,0.113
lived,0.027,0.042
wife,0.009,0.016
Dr.,0.013,0.01
doctor,0.01,0.006
After,0.099,0.081
protesters,0.024,0.031
rushed,0.022,0.025
stage,0.09,0.09
microphone,0.03,0.026
drew,0.016,0.04
Ben,0.069,0.055
hiding,0.028,0.03
dirt,0.044,0.075
road,0.077,0.056
Spanish,0.009,0.034
Canyon,0.007,0.028
still,0.03,0.08
feet,0.022,0.015
boy,0.023,0.028
Analysts,0.167,0.152
revenue,0.022,0.015
Thomson,0.038,0.051
First,0.019,0.013
Call,0.07,0.06
says,0.025,0.041
Hewlett,0.036,0.039
Packard,0.029,0.025
29,0.02,0.02
18,0.011,0.018
Doctors,0.059,0.059
boys,0.049,0.074
die,0.022,0.033
brain,0.006,0.007
Another,0.022,0.028
Northwest,0.004,0.002
Medical,0.081,0.065
County,0.012,0.013
child,0.041,0.045
started,0.014,0.031
crying,0.031,0.015
What,0.078,0.032
why,0.008,0.032
did,0.015,0.03
Sean,0.003,0.008
president,0.02,0.023
Public,0.076,0.045
System,0.069,0.055
suggested,0.028,0.092
board,0.043,0.034
seats,0.093,0.063
investors,0.025,0.028
outside,0.021,0.031
securities,0.027,0.016
Al,0.02,0.015
Fort,0.023,0.03
Worth,0.161,0.161
swept,0.01,0.012
recovered,0.014,0.023
Tuesday,0.015,0.016
Canadian,0.025,0.032
UK,0.008,0.015
stores,0.023,0.021
drugs,0.012,0.017
festival,0.043,0.014
kicked,0.008,0.022
Commission,0.02,0.013
delivered,0.008,0.01
verdict,0.099,0.095
Government,0.019,0.008
£,0.002,0.008
4.1,0.086,0.061
big,0.011,0.018
players,0.011,0.024
Swedish,0.014,0.033
much,0.008,0.015
years,0.012,0.014
park,0.056,0.036
National,0.011,0.007
Park,0.037,0.016
’s,0.013,0.01
dedicated,0.092,0.075
ancient,0.004,0.011
ruins,0.018,0.038
world,0.018,0.013
largest,0.013,0.021
workers,0.011,0.014
retirees,0.001,0.012
spouses,0.013,0.015
abandoned,0.011,0.022
Virginia,0.023,0.016
Beach,0.017,0.006
parking,0.036,0.05
lot,0.037,0.044
June,0.012,0.011
license,0.062,0.06
eventually,0.023,0.026
allowed,0.006,0.042
bike,0.026,0.018
sat,0.043,0.067
sixth,0.022,0.019
league,0.029,0.069
goals,0.007,0.006
41,0.033,0.021
ninth,0.122,0.146
led,0.01,0.006
Atlanta,0.01,0.011
48,0.011,0.015
tonight,0.006,0.037
fund,0.04,0.071
reception,0.122,0.113
re,0.015,0.006
judge,0.033,0.043
panel,0.024,0.026
Circuit,0.011,0.013
limited,0.012,0.016
issued,0.04,0.027
supported,0.02,0.021
Gregg,0.07,0.149
're,0.009,0.007
Data,0.103,0.08
Systems,0.031,0.019
Securities,0.118,0.165
asked,0.008,0.007
documents,0.037,0.054
related,0.005,0.008
Navy,0.009,0.076
filing,0.036,0.079
EDS,0.02,0.03
claims,0.018,0.014
Apple,0.01,0.014
sale,0.043,0.051
date,0.043,0.038
claimed,0.01,0.01
Only,0.067,0.052
families,0.109,0.18
identified,0.013,0.011
Officials,0.014,0.008
campus,0.015,0.032
entire,0.017,0.02
North,0.01,0.02
markets,0.032,0.029
finished,0.016,0.033
begins,0.01,0.009
slow,0.022,0.023
economic,0.008,0.009
gains,0.059,0.06
As,0.055,0.056
dolphin,0.025,0.073
companies,0.004,0.006
fishing,0.002,0.011
export,0.033,0.037
Internal,0.033,0.046
commercial,0.017,0.036
ended,0.03,0.102
120,0.012,0.034
market,0.012,0.01
1998,0.038,0.059
collection,0.022,0.017
court,0.032,0.024
session,0.038,0.039
announces,0.012,0.008
February,0.016,0.017
Super,0.049,0.041
Miami,0.008,0.016
consensus,0.031,0.1
analysts,0.022,0.031
28,0.003,0.005
sales,0.019,0.015
secretary,0.03,0.023
defense,0.008,0.01
policy,0.025,0.026
nobody,0.015,0.031
Pentagon,0.018,0.026
Linux,0.007,0.008
Services,0.061,0.009
available,0.029,0.033
versions,0.004,0.011
HP,0.009,0.025
servers,0.008,0.006
expects,0.044,0.083
motives,0.059,0.053
assumes,0.003,0.057
warrior,0.002,0.051
Byrd,0.028,0.042
Senate,0.034,0.04
questioned,0.019,0.012
fell,0.024,0.047
Instead,0.012,0.011
tickets,0.0,0.002
Jersey,0.011,0.011
went,0.004,0.005
night,0.033,0.03
repeated,0.031,0.138
too,0.018,0.013
fraud,0.044,0.037
Peter,0.031,0.011
Berkeley,0.006,0.017
School,0.008,0.007
Information,0.045,0.054
production,0.016,0.078
1999,0.01,0.014
That,0.078,0.063
My,0.034,0.043
95,0.023,0.009
should,0.005,0.026
Press,0.041,0.011
researchers,0.025,0.038
empty,0.038,0.042
detected,0.009,0.057
rather,0.008,0.03
however,0.127,0.056
complaints,0.019,0.029
filed,0.008,0.02
insisted,0.007,0.007
anticipation,0.184,0.105
separated,0.016,0.028
Children,0.019,0.024
Two,0.021,0.013
Egyptian,0.014,0.03
twin,0.002,0.005
born,0.027,0.015
heads,0.005,0.009
bodies,0.034,0.037
10,0.013,0.015
discuss,0.018,0.025
elections,0.02,0.019
temporary,0.007,0.008
appointed,0.01,0.017
agreed,0.01,0.021
organizations,0.005,0.008
scared,0.064,0.065
really,0.007,0.011
euro,0.079,0.083
Asian,0.011,0.02
opened,0.025,0.015
European,0.024,0.034
Abbas,0.013,0.01
summit,0.036,0.06
terrorism,0.039,0.044
Israelis,0.007,0.014
militants,0.026,0.032
civilian,0.011,0.016
unemployment,0.06,0.062
improved,0.041,0.072
6.1,0.012,0.006
sliding,0.023,0.026
amid,0.012,0.01
continuing,0.01,0.05
results,0.033,0.04
individuals,0.006,0.012
presence,0.008,0.003
