word,layer_1,layer_2
surface,0.058,0.038
determine,0.019,0.013
standard,0.03,0.015
estimate,0.027,0.083
capacity,0.039,0.024
measurement,0.024,0.019
value,0.033,0.04
interpretation,0.027,0.031
account,0.041,0.04
reading,0.047,0.08
event,0.019,0.013
situation,0.041,0.025
mental,0.014,0.013
representation,0.007,0.007
meaning,0.057,0.059
significance,0.175,0.107
social,0.012,0.01
occasion,0.034,0.022
which,0.004,0.012
people,0.006,0.013
can,0.004,0.025
for,0.005,0.006
and,0.009,0.005
entertainment,0.019,0.024
Make,0.082,0.024
fine,0.091,0.055
optimal,0.008,0.008
certain,0.032,0.022
scale,0.057,0.047
make,0.016,0.007
divide,0.015,0.038
marked,0.041,0.04
measuring,0.015,0.001
short,0.01,0.016
intended,0.01,0.016
song,0.02,0.021
manipulate,0.024,0.005
entity,0.029,0.017
employ,0.017,0.022
employed,0.006,0.021
position,0.029,0.019
someone,0.012,0.022
job,0.023,0.017
defined,0.023,0.023
specific,0.025,0.028
organization,0.011,0.013
associated,0.032,0.042
personnel,0.028,0.033
especially,0.016,0.013
storage,0.022,0.051
cabinet,0.032,0.027
furniture,0.044,0.043
office,0.026,0.016
consisting,0.02,0.015
container,0.055,0.049
keeping,0.006,0.031
papers,0.004,0.006
order,0.095,0.055
approval,0.027,0.021
interest,0.021,0.024
briefly,0.014,0.024
shut,0.016,0.014
eye,0.02,0.032
signal,0.033,0.142
capital,0.034,0.012
stock,0.02,0.017
any,0.003,0.006
equal,0.022,0.059
portions,0.007,0.003
divided,0.017,0.019
prove,0.013,0.05
establish,0.011,0.02
strengthen,0.06,0.071
new,0.012,0.014
evidence,0.017,0.019
facts,0.07,0.077
content,0.108,0.047
communication,0.047,0.041
usually,0.019,0.018
brief,0.01,0.014
written,0.007,0.007
spoken,0.011,0.021
teeth,0.015,0.027
side,0.034,0.031
missing,0.036,0.042
move,0.041,0.022
lower,0.038,0.07
association,0.007,0.017
flow,0.027,0.02
liquids,0.047,0.039
reduce,0.018,0.012
reduced,0.123,0.152
solid,0.018,0.041
liquid,0.023,0.018
state,0.038,0.023
heating,0.088,0.178
protect,0.016,0.011
treat,0.015,0.011
body,0.014,0.012
it,0.005,0.021
applying,0.016,0.012
provide,0.013,0.009
therapy,0.061,0.121
blood,0.02,0.034
physically,0.01,0.006
create,0.008,0.007
mark,0.029,0.028
marks,0.017,0.016
completely,0.009,0.034
close,0.017,0.032
covering,0.012,0.028
border,0.035,0.023
act,0.056,0.083
ending,0.007,0.007
end,0.026,0.021
word,0.046,0.026
final,0.024,0.03
price,0.024,0.014
good,0.033,0.032
assertion,0.005,0.006
guilty,0.077,0.058
fault,0.037,0.028
art,0.005,0.011
model,0.027,0.027
image,0.02,0.011
travel,0.04,0.03
shaped,0.007,0.013
like,0.036,0.063
bend,0.023,0.038
shape,0.038,0.024
perhaps,0.051,0.058
playfully,0.006,0.008
fun,0.031,0.025
Cause,0.272,0.168
smell,0.042,0.01
bad,0.033,0.029
extremely,0.019,0.02
quality,0.03,0.015
's,0.007,0.008
performance,0.028,0.025
relative,0.004,0.006
standing,0.03,0.04
things,0.014,0.016
persons,0.044,0.05
society,0.04,0.027
consider,0.016,0.006
observe,0.014,0.002
carefully,0.011,0.041
detail,0.145,0.165
subject,0.022,0.024
analysis,0.006,0.004
discover,0.008,0.003
essential,0.095,0.078
features,0.022,0.053
achieve,0.013,0.014
acceptance,0.107,0.124
somebody,0.027,0.032
accept,0.012,0.017
physical,0.009,0.018
matter,0.017,0.052
left,0.006,0.007
behind,0.014,0.026
after,0.01,0.007
removal,0.043,0.032
remains,0.004,0.011
has,0.003,0.004
been,0.005,0.004
removed,0.033,0.047
tall,0.006,0.03
vertical,0.07,0.067
column,0.011,0.007
heavy,0.016,0.021
radioactive,0.022,0.055
element,0.031,0.028
atomic,0.074,0.078
number,0.036,0.019
white,0.016,0.034
occurs,0.011,0.034
many,0.006,0.011
used,0.041,0.059
nuclear,0.013,0.014
weapons,0.018,0.018
about,0.054,0.06
say,0.013,0.025
mean,0.046,0.032
care,0.021,0.023
bothered,0.023,0.009
concerned,0.01,0.008
take,0.003,0.006
points,0.174,0.21
game,0.03,0.023
at,0.008,0.01
time,0.013,0.013
expresses,0.016,0.032
team,0.017,0.012
individual,0.036,0.039
contest,0.033,0.025
so,0.012,0.006
block,0.017,0.029
