word,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12
Later,0.013,0.027,0.026,0.032,0.029,0.03,0.042,0.039,0.043,0.041,0.049,0.402
emerged,0.031,0.054,0.051,0.057,0.041,0.045,0.061,0.074,0.08,0.101,0.127,0.075
Tour,0.004,0.007,0.009,0.01,0.017,0.015,0.016,0.013,0.006,0.002,0.01,0.023
author,0.001,0.002,0.004,0.014,0.017,0.018,0.026,0.032,0.03,0.023,0.016,0.006
testify,0.001,0.01,0.003,0.008,0.008,0.008,0.01,0.01,0.01,0.005,0.004,0.011
catastrophic,0.002,0.004,0.003,0.006,0.008,0.011,0.013,0.008,0.004,0.004,0.009,0.012
unacceptable,0.007,0.036,0.038,0.044,0.04,0.039,0.05,0.049,0.04,0.032,0.037,0.055
Emergency,0.001,0.004,0.003,0.005,0.003,0.004,0.006,0.004,0.002,0.006,0.026,0.013
friends,0.003,0.004,0.004,0.004,0.004,0.004,0.005,0.003,0.004,0.007,0.014,0.009
filled,0.004,0.015,0.034,0.045,0.05,0.051,0.07,0.087,0.072,0.057,0.048,0.048
Per,0.003,0.009,0.008,0.008,0.012,0.011,0.013,0.011,0.007,0.007,0.016,0.003
Software,0.001,0.005,0.005,0.003,0.005,0.004,0.004,0.002,0.0,0.004,0.037,0.079
##lash,0.001,0.007,0.011,0.016,0.009,0.01,0.01,0.009,0.008,0.011,0.026,0.007
Domestic,0.011,0.011,0.013,0.014,0.016,0.02,0.022,0.023,0.026,0.031,0.042,0.223
Ford,0.002,0.008,0.007,0.008,0.006,0.005,0.006,0.006,0.006,0.01,0.039,0.001
##IP,0.002,0.004,0.003,0.002,0.003,0.003,0.003,0.002,0.001,0.002,0.004,0.005
meant,0.003,0.009,0.032,0.057,0.055,0.039,0.039,0.03,0.014,0.005,0.003,0.014
accord,0.002,0.013,0.023,0.02,0.017,0.016,0.029,0.032,0.027,0.021,0.015,0.027
implementation,0.001,0.001,0.001,0.002,0.004,0.006,0.01,0.018,0.02,0.019,0.023,0.015
physicist,0.001,0.004,0.004,0.001,0.001,0.001,0.0,0.001,0.0,0.001,0.001,0.078
##itis,0.003,0.024,0.075,0.103,0.123,0.125,0.136,0.107,0.069,0.05,0.023,0.101
raid,0.005,0.008,0.011,0.013,0.018,0.021,0.022,0.019,0.011,0.007,0.01,0.026
##ju,0.001,0.002,0.001,0.001,0.002,0.003,0.004,0.005,0.005,0.007,0.013,0.009
bone,0.009,0.036,0.04,0.047,0.052,0.051,0.054,0.051,0.039,0.031,0.029,0.034
slab,0.006,0.012,0.006,0.007,0.012,0.014,0.014,0.018,0.013,0.012,0.025,0.006
Trade,0.004,0.007,0.012,0.015,0.016,0.014,0.016,0.012,0.006,0.006,0.02,0.047
Italian,0.002,0.002,0.002,0.002,0.005,0.006,0.006,0.008,0.006,0.007,0.018,0.004
mutual,0.003,0.01,0.021,0.025,0.028,0.029,0.037,0.04,0.032,0.029,0.029,0.029
Freedom,0.008,0.04,0.063,0.066,0.071,0.071,0.071,0.064,0.049,0.029,0.01,0.143
##king,0.001,0.005,0.004,0.005,0.007,0.007,0.006,0.004,0.003,0.003,0.008,0.013
Lance,0.003,0.016,0.034,0.043,0.04,0.044,0.057,0.05,0.036,0.028,0.037,0.031
aggregate,0.003,0.007,0.015,0.016,0.021,0.018,0.017,0.018,0.018,0.017,0.014,0.056
SC,0.003,0.026,0.069,0.058,0.038,0.024,0.032,0.035,0.029,0.01,0.01,0.01
outstanding,0.007,0.003,0.01,0.007,0.005,0.003,0.005,0.005,0.006,0.013,0.034,0.006
gives,0.004,0.002,0.005,0.014,0.017,0.013,0.008,0.005,0.004,0.005,0.013,0.006
##pur,0.0,0.001,0.0,0.0,0.001,0.003,0.006,0.011,0.008,0.002,0.003,0.023
Cal,0.002,0.005,0.014,0.021,0.028,0.024,0.023,0.022,0.019,0.014,0.024,0.051
fatal,0.003,0.035,0.065,0.046,0.046,0.031,0.041,0.039,0.03,0.025,0.035,0.046
contribute,0.007,0.014,0.027,0.026,0.029,0.029,0.028,0.037,0.031,0.024,0.014,0.142
exports,0.002,0.004,0.009,0.011,0.013,0.013,0.026,0.021,0.025,0.023,0.025,0.033
Six,0.006,0.011,0.011,0.015,0.022,0.024,0.035,0.043,0.042,0.038,0.036,0.015
##py,0.002,0.002,0.003,0.009,0.008,0.009,0.017,0.019,0.021,0.018,0.01,0.008
##tions,0.005,0.01,0.011,0.012,0.016,0.025,0.03,0.029,0.022,0.014,0.012,0.069
frozen,0.001,0.005,0.008,0.01,0.013,0.01,0.011,0.008,0.004,0.004,0.011,0.01
throughout,0.002,0.004,0.009,0.012,0.008,0.007,0.013,0.015,0.016,0.01,0.009,0.019
exclusive,0.009,0.011,0.009,0.012,0.016,0.018,0.025,0.026,0.028,0.038,0.061,0.002
employers,0.001,0.008,0.006,0.007,0.003,0.003,0.002,0.002,0.001,0.001,0.01,0.005
professional,0.006,0.006,0.009,0.009,0.009,0.009,0.009,0.007,0.004,0.003,0.003,0.01
http,0.001,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.002,0.002,0.007,0.003
Families,0.0,0.006,0.008,0.008,0.012,0.01,0.008,0.006,0.002,0.007,0.043,0.065
highway,0.0,0.002,0.004,0.002,0.002,0.002,0.002,0.001,0.001,0.002,0.014,0.002
readers,0.001,0.0,0.002,0.002,0.007,0.004,0.003,0.002,0.001,0.002,0.029,0.004
Harry,0.002,0.003,0.009,0.013,0.018,0.017,0.022,0.018,0.014,0.012,0.024,0.038
Potter,0.003,0.004,0.005,0.007,0.008,0.008,0.008,0.006,0.004,0.002,0.003,0.011
Order,0.002,0.008,0.013,0.01,0.009,0.006,0.012,0.013,0.01,0.011,0.026,0.01
pregnancy,0.001,0.0,0.0,0.002,0.004,0.004,0.004,0.003,0.001,0.001,0.009,0.012
once,0.004,0.007,0.008,0.01,0.011,0.018,0.02,0.025,0.024,0.021,0.027,0.009
##of,0.001,0.026,0.072,0.103,0.126,0.154,0.18,0.176,0.139,0.123,0.071,0.301
actress,0.001,0.002,0.001,0.002,0.002,0.003,0.004,0.005,0.004,0.006,0.012,0.003
Win,0.003,0.012,0.022,0.023,0.035,0.034,0.031,0.03,0.027,0.021,0.016,0.032
doubled,0.0,0.003,0.005,0.003,0.003,0.001,0.002,0.0,0.001,0.001,0.004,0.007
Said,0.003,0.003,0.01,0.005,0.005,0.007,0.009,0.014,0.014,0.012,0.033,0.002
Island,0.005,0.018,0.031,0.029,0.026,0.026,0.016,0.009,0.004,0.001,0.002,0.038
##ums,0.001,0.023,0.043,0.064,0.086,0.108,0.118,0.116,0.078,0.031,0.02,0.384
teenagers,0.002,0.005,0.004,0.004,0.006,0.005,0.004,0.004,0.003,0.0,0.001,0.004
buried,0.001,0.005,0.01,0.013,0.016,0.017,0.028,0.019,0.015,0.012,0.017,0.014
Say,0.003,0.012,0.026,0.025,0.029,0.026,0.03,0.024,0.023,0.025,0.031,0.06
##ails,0.002,0.009,0.004,0.003,0.002,0.002,0.003,0.002,0.001,0.001,0.006,0.023
Foreign,0.002,0.014,0.019,0.024,0.027,0.022,0.025,0.025,0.017,0.005,0.008,0.03
Sources,0.0,0.002,0.0,0.002,0.004,0.003,0.003,0.004,0.005,0.007,0.006,0.259
racing,0.002,0.006,0.007,0.008,0.009,0.009,0.009,0.01,0.008,0.014,0.023,0.011
Daily,0.003,0.004,0.003,0.002,0.006,0.006,0.005,0.007,0.005,0.012,0.031,0.014
##ded,0.002,0.003,0.002,0.003,0.003,0.003,0.004,0.006,0.008,0.009,0.02,0.015
Maybe,0.001,0.003,0.007,0.007,0.007,0.007,0.011,0.008,0.008,0.01,0.026,0.03
reality,0.004,0.005,0.008,0.008,0.01,0.005,0.006,0.006,0.007,0.008,0.017,0.005
streets,0.002,0.003,0.004,0.003,0.003,0.004,0.006,0.006,0.007,0.004,0.007,0.015
War,0.001,0.002,0.004,0.007,0.008,0.007,0.007,0.005,0.006,0.007,0.013,0.016
Free,0.004,0.004,0.003,0.003,0.004,0.004,0.003,0.004,0.002,0.002,0.008,0.005
##mine,0.001,0.002,0.001,0.001,0.002,0.004,0.004,0.006,0.015,0.024,0.063,0.009
##rix,0.001,0.007,0.036,0.058,0.08,0.097,0.094,0.078,0.062,0.05,0.016,0.011
squad,0.009,0.018,0.024,0.026,0.033,0.027,0.028,0.024,0.017,0.005,0.0,0.02
Wells,0.002,0.002,0.002,0.002,0.001,0.004,0.006,0.006,0.005,0.002,0.003,0.078
arrive,0.003,0.004,0.008,0.007,0.007,0.005,0.007,0.006,0.004,0.003,0.005,0.026
Royal,0.002,0.004,0.004,0.008,0.009,0.008,0.007,0.007,0.005,0.006,0.028,0.014
Times,0.004,0.004,0.005,0.009,0.008,0.009,0.01,0.008,0.006,0.004,0.011,0.028
Steven,0.0,0.001,0.003,0.001,0.002,0.002,0.004,0.01,0.014,0.022,0.021,0.041
##sad,0.004,0.024,0.048,0.069,0.077,0.087,0.103,0.101,0.085,0.069,0.059,0.031
difference,0.005,0.008,0.009,0.013,0.015,0.02,0.028,0.032,0.031,0.035,0.046,0.013
biological,0.003,0.003,0.005,0.008,0.009,0.011,0.01,0.01,0.011,0.009,0.014,0.014
indeed,0.003,0.006,0.006,0.006,0.006,0.008,0.012,0.011,0.012,0.009,0.008,0.014
grown,0.002,0.004,0.007,0.008,0.008,0.005,0.006,0.005,0.003,0.004,0.01,0.013
tough,0.001,0.001,0.001,0.002,0.002,0.002,0.003,0.005,0.007,0.01,0.025,0.001
trees,0.005,0.009,0.012,0.013,0.017,0.017,0.028,0.033,0.028,0.024,0.029,0.042
##uit,0.001,0.006,0.006,0.007,0.011,0.016,0.015,0.017,0.016,0.025,0.055,0.025
actual,0.003,0.003,0.004,0.006,0.011,0.011,0.009,0.008,0.005,0.003,0.003,0.014
Christian,0.005,0.003,0.002,0.003,0.002,0.003,0.006,0.014,0.014,0.006,0.007,0.017
##rada,0.0,0.001,0.0,0.001,0.004,0.005,0.005,0.004,0.002,0.004,0.011,0.004
