word,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12
hair,0.003,0.014,0.015,0.022,0.023,0.025,0.041,0.033,0.031,0.025,0.024,0.039
edge,0.004,0.008,0.013,0.011,0.016,0.016,0.017,0.018,0.011,0.009,0.013,0.038
tool,0.002,0.004,0.007,0.008,0.008,0.006,0.01,0.007,0.007,0.008,0.015,0.003
learn,0.006,0.011,0.008,0.01,0.011,0.007,0.008,0.006,0.009,0.007,0.015,0.026
ass,0.001,0.003,0.006,0.006,0.01,0.008,0.014,0.01,0.009,0.004,0.003,0.031
##im,0.001,0.004,0.007,0.008,0.01,0.014,0.014,0.015,0.009,0.007,0.02,0.02
##ila,0.001,0.002,0.006,0.014,0.015,0.018,0.027,0.029,0.016,0.012,0.019,0.058
books,0.001,0.001,0.005,0.007,0.007,0.006,0.005,0.005,0.006,0.012,0.028,0.012
support,0.008,0.006,0.008,0.008,0.008,0.008,0.011,0.011,0.012,0.012,0.017,0.011
n,0.003,0.002,0.003,0.004,0.005,0.007,0.009,0.012,0.016,0.018,0.023,0.021
##urt,0.003,0.026,0.055,0.078,0.089,0.097,0.095,0.094,0.076,0.055,0.025,0.057
##ure,0.004,0.007,0.007,0.016,0.012,0.015,0.017,0.018,0.028,0.031,0.044,0.012
length,0.002,0.006,0.007,0.009,0.007,0.006,0.011,0.009,0.008,0.01,0.015,0.005
extend,0.003,0.011,0.008,0.006,0.005,0.005,0.009,0.012,0.011,0.009,0.008,0.008
duration,0.001,0.005,0.007,0.006,0.006,0.005,0.008,0.009,0.014,0.016,0.012,0.008
space,0.005,0.018,0.029,0.041,0.051,0.046,0.048,0.046,0.04,0.037,0.039,0.071
happening,0.002,0.004,0.006,0.007,0.006,0.008,0.011,0.011,0.013,0.011,0.01,0.012
doing,0.005,0.007,0.008,0.008,0.01,0.014,0.015,0.024,0.025,0.025,0.03,0.008
Something,0.006,0.008,0.008,0.005,0.003,0.006,0.007,0.015,0.018,0.014,0.018,0.199
provides,0.006,0.003,0.003,0.004,0.003,0.002,0.003,0.003,0.003,0.003,0.004,0.005
advice,0.003,0.003,0.002,0.001,0.001,0.001,0.004,0.004,0.009,0.009,0.008,0.004
direction,0.002,0.009,0.013,0.016,0.02,0.024,0.027,0.03,0.022,0.013,0.014,0.028
decision,0.001,0.004,0.005,0.007,0.009,0.009,0.011,0.011,0.011,0.011,0.014,0.003
course,0.003,0.011,0.016,0.015,0.014,0.013,0.015,0.013,0.011,0.008,0.009,0.011
copy,0.004,0.01,0.012,0.018,0.024,0.022,0.02,0.018,0.015,0.01,0.004,0.01
actions,0.002,0.003,0.004,0.004,0.005,0.004,0.004,0.004,0.004,0.005,0.012,0.01
self,0.004,0.008,0.017,0.016,0.016,0.015,0.02,0.022,0.02,0.01,0.01,0.022
contained,0.004,0.007,0.018,0.021,0.023,0.023,0.028,0.029,0.028,0.026,0.042,0.021
impact,0.002,0.003,0.006,0.01,0.011,0.01,0.011,0.011,0.01,0.007,0.017,0.008
severe,0.001,0.002,0.003,0.004,0.002,0.002,0.005,0.003,0.004,0.004,0.007,0.002
harsh,0.001,0.002,0.002,0.003,0.002,0.001,0.0,0.001,0.001,0.007,0.023,0.002
opinion,0.002,0.006,0.005,0.007,0.009,0.007,0.006,0.006,0.005,0.006,0.014,0.003
judgment,0.003,0.001,0.002,0.002,0.003,0.002,0.003,0.007,0.008,0.005,0.007,0.011
qualities,0.002,0.011,0.009,0.008,0.008,0.006,0.011,0.01,0.013,0.018,0.017,0.002
fl,0.003,0.004,0.004,0.004,0.003,0.004,0.006,0.007,0.007,0.006,0.008,0.014
##og,0.001,0.002,0.002,0.004,0.005,0.004,0.004,0.004,0.01,0.014,0.028,0.026
whip,0.005,0.015,0.037,0.038,0.044,0.038,0.048,0.047,0.032,0.018,0.01,0.023
beat,0.001,0.001,0.001,0.002,0.002,0.005,0.007,0.007,0.008,0.01,0.021,0.013
severely,0.001,0.001,0.002,0.003,0.001,0.003,0.005,0.005,0.005,0.002,0.004,0.015
form,0.003,0.003,0.005,0.005,0.004,0.004,0.005,0.007,0.011,0.016,0.023,0.016
progress,0.002,0.004,0.006,0.007,0.007,0.009,0.019,0.017,0.016,0.014,0.023,0.019
according,0.002,0.004,0.005,0.007,0.01,0.017,0.019,0.031,0.03,0.022,0.019,0.06
plan,0.002,0.004,0.006,0.009,0.011,0.012,0.02,0.021,0.02,0.021,0.028,0.013
G,0.002,0.002,0.005,0.007,0.01,0.008,0.009,0.008,0.007,0.007,0.015,0.029
produce,0.004,0.005,0.001,0.003,0.006,0.013,0.012,0.013,0.01,0.01,0.016,0.003
b,0.004,0.004,0.004,0.006,0.007,0.006,0.007,0.007,0.011,0.015,0.021,0.024
branches,0.003,0.01,0.015,0.014,0.017,0.013,0.013,0.012,0.011,0.007,0.005,0.028
g,0.003,0.003,0.014,0.04,0.035,0.033,0.036,0.032,0.039,0.05,0.066,0.027
scope,0.011,0.038,0.06,0.067,0.071,0.075,0.074,0.066,0.049,0.04,0.032,0.061
environment,0.001,0.001,0.001,0.002,0.004,0.005,0.008,0.009,0.009,0.007,0.008,0.002
walk,0.004,0.005,0.009,0.008,0.012,0.014,0.014,0.015,0.014,0.015,0.011,0.023
e,0.003,0.004,0.004,0.004,0.003,0.007,0.013,0.014,0.024,0.034,0.055,0.034
numbers,0.002,0.002,0.002,0.002,0.003,0.002,0.004,0.004,0.005,0.006,0.011,0.006
recognize,0.002,0.005,0.006,0.006,0.005,0.004,0.008,0.009,0.007,0.007,0.008,0.215
##ami,0.005,0.009,0.014,0.017,0.019,0.025,0.035,0.039,0.05,0.067,0.09,0.012
##gni,0.001,0.015,0.025,0.04,0.038,0.042,0.039,0.036,0.032,0.025,0.017,0.044
##t,0.002,0.004,0.004,0.006,0.005,0.005,0.009,0.011,0.014,0.02,0.034,0.004
piece,0.002,0.009,0.024,0.031,0.03,0.024,0.028,0.026,0.018,0.01,0.005,0.047
possess,0.002,0.001,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.001,0.005,0.004
through,0.013,0.015,0.018,0.022,0.02,0.026,0.033,0.037,0.037,0.032,0.026,0.02
behavior,0.003,0.003,0.006,0.006,0.007,0.008,0.012,0.01,0.007,0.005,0.008,0.013
medium,0.005,0.013,0.018,0.026,0.031,0.029,0.039,0.036,0.023,0.016,0.021,0.013
control,0.003,0.004,0.005,0.006,0.006,0.006,0.008,0.008,0.009,0.009,0.012,0.006
rate,0.001,0.003,0.005,0.009,0.01,0.011,0.011,0.01,0.01,0.009,0.01,0.006
mechanical,0.013,0.037,0.038,0.04,0.038,0.032,0.034,0.037,0.043,0.043,0.054,0.012
various,0.002,0.005,0.005,0.005,0.005,0.005,0.005,0.009,0.012,0.015,0.023,0.014
devices,0.002,0.001,0.004,0.003,0.003,0.003,0.006,0.005,0.007,0.006,0.01,0.019
controlling,0.004,0.006,0.009,0.008,0.01,0.007,0.01,0.008,0.005,0.004,0.007,0.019
fluid,0.002,0.003,0.004,0.004,0.004,0.003,0.002,0.002,0.002,0.003,0.015,0.004
temperature,0.002,0.005,0.006,0.007,0.007,0.008,0.008,0.006,0.007,0.01,0.013,0.005
Form,0.001,0.002,0.005,0.007,0.009,0.012,0.014,0.012,0.017,0.019,0.033,0.032
conceptual,0.003,0.007,0.014,0.021,0.019,0.027,0.033,0.03,0.024,0.023,0.017,0.001
whole,0.001,0.005,0.01,0.011,0.01,0.01,0.012,0.013,0.01,0.01,0.028,0.04
united,0.002,0.005,0.009,0.011,0.011,0.011,0.012,0.01,0.008,0.007,0.007,0.011
consistent,0.003,0.005,0.003,0.001,0.001,0.001,0.003,0.005,0.004,0.005,0.003,0.01
legs,0.005,0.01,0.006,0.007,0.005,0.005,0.005,0.005,0.005,0.004,0.005,0.014
informal,0.001,0.003,0.002,0.001,0.002,0.001,0.002,0.002,0.001,0.003,0.013,0.007
terms,0.001,0.005,0.007,0.006,0.005,0.005,0.007,0.01,0.021,0.032,0.039,0.021
leg,0.004,0.005,0.01,0.016,0.02,0.019,0.026,0.024,0.022,0.019,0.023,0.018
objective,0.013,0.024,0.03,0.04,0.045,0.041,0.048,0.052,0.048,0.04,0.035,0.03
believed,0.006,0.008,0.007,0.004,0.002,0.002,0.005,0.012,0.02,0.021,0.01,0.012
attain,0.003,0.01,0.006,0.002,0.001,0.001,0.002,0.002,0.004,0.008,0.023,0.048
cold,0.001,0.004,0.004,0.006,0.008,0.008,0.009,0.009,0.009,0.01,0.008,0.01
##tri,0.0,0.001,0.006,0.006,0.006,0.01,0.013,0.013,0.011,0.009,0.013,0.013
##mental,0.006,0.028,0.051,0.073,0.087,0.107,0.121,0.126,0.092,0.064,0.022,0.146
conditions,0.003,0.008,0.014,0.014,0.013,0.01,0.011,0.011,0.01,0.008,0.011,0.006
apart,0.004,0.005,0.007,0.005,0.004,0.006,0.007,0.007,0.007,0.008,0.01,0.007
##ot,0.002,0.003,0.005,0.005,0.007,0.005,0.004,0.004,0.009,0.014,0.023,0.011
percentage,0.002,0.002,0.004,0.003,0.003,0.002,0.002,0.002,0.005,0.012,0.035,0.006
assets,0.003,0.014,0.012,0.01,0.01,0.009,0.016,0.018,0.019,0.015,0.015,0.015
due,0.003,0.006,0.017,0.026,0.022,0.021,0.025,0.033,0.028,0.024,0.023,0.019
contributed,0.002,0.002,0.002,0.002,0.001,0.0,0.001,0.003,0.006,0.005,0.002,0.01
victory,0.003,0.009,0.009,0.008,0.008,0.006,0.01,0.009,0.01,0.013,0.023,0.013
parallel,0.002,0.005,0.004,0.004,0.005,0.003,0.005,0.005,0.004,0.007,0.023,0.007
proper,0.002,0.004,0.005,0.008,0.008,0.009,0.01,0.01,0.012,0.01,0.015,0.009
arrange,0.006,0.01,0.009,0.005,0.005,0.005,0.006,0.006,0.006,0.007,0.009,0.008
straight,0.005,0.005,0.007,0.011,0.018,0.019,0.019,0.017,0.014,0.01,0.015,0.005
bed,0.009,0.017,0.03,0.035,0.042,0.041,0.052,0.043,0.036,0.032,0.039,0.051
cloth,0.001,0.002,0.003,0.002,0.002,0.006,0.01,0.016,0.017,0.013,0.014,0.002
##ghan,0.001,0.007,0.023,0.033,0.041,0.047,0.049,0.051,0.046,0.038,0.037,0.022
##p,0.002,0.003,0.006,0.013,0.018,0.018,0.017,0.015,0.01,0.009,0.014,0.026
##read,0.001,0.001,0.002,0.004,0.006,0.004,0.006,0.015,0.017,0.018,0.017,0.018
thrown,0.003,0.003,0.005,0.007,0.008,0.008,0.009,0.008,0.006,0.009,0.024,0.008
over,0.004,0.005,0.007,0.01,0.012,0.012,0.013,0.013,0.013,0.013,0.018,0.008
frame,0.006,0.009,0.01,0.013,0.015,0.015,0.017,0.019,0.017,0.013,0.018,0.019
windows,0.001,0.001,0.004,0.003,0.004,0.005,0.007,0.009,0.017,0.022,0.063,0.026
protective,0.001,0.001,0.0,0.001,0.001,0.001,0.002,0.002,0.002,0.001,0.013,0.003
net,0.002,0.005,0.006,0.005,0.004,0.004,0.003,0.004,0.003,0.002,0.005,0.001
##ting,0.002,0.003,0.005,0.011,0.012,0.013,0.017,0.018,0.017,0.015,0.015,0.012
measure,0.002,0.003,0.003,0.004,0.004,0.007,0.013,0.015,0.017,0.017,0.024,0.01
probability,0.002,0.004,0.007,0.006,0.007,0.006,0.007,0.006,0.006,0.008,0.025,0.016
how,0.003,0.003,0.003,0.003,0.004,0.005,0.007,0.008,0.009,0.01,0.013,0.014
will,0.002,0.002,0.004,0.006,0.006,0.008,0.01,0.012,0.012,0.01,0.015,0.009
occur,0.004,0.004,0.004,0.008,0.007,0.011,0.014,0.014,0.015,0.012,0.007,0.018
expressing,0.001,0.004,0.004,0.003,0.002,0.001,0.001,0.001,0.001,0.003,0.004,0.01
ratio,0.002,0.009,0.018,0.026,0.022,0.016,0.022,0.023,0.015,0.013,0.019,0.016
favorable,0.0,0.003,0.004,0.005,0.006,0.007,0.01,0.011,0.01,0.005,0.001,0.015
cases,0.002,0.004,0.005,0.007,0.007,0.007,0.012,0.015,0.02,0.019,0.019,0.008
possible,0.001,0.003,0.005,0.007,0.011,0.011,0.013,0.013,0.013,0.012,0.013,0.013
judges,0.002,0.004,0.009,0.012,0.012,0.015,0.017,0.016,0.015,0.008,0.008,0.051
finds,0.001,0.002,0.003,0.002,0.002,0.003,0.003,0.006,0.01,0.01,0.011,0.009
makes,0.003,0.004,0.004,0.004,0.004,0.003,0.005,0.005,0.005,0.009,0.022,0.007
rescue,0.002,0.003,0.006,0.006,0.007,0.006,0.012,0.011,0.012,0.013,0.024,0.015
release,0.008,0.013,0.014,0.013,0.015,0.013,0.021,0.017,0.013,0.013,0.02,0.023
recovery,0.004,0.005,0.004,0.003,0.002,0.001,0.003,0.003,0.004,0.004,0.012,0.002
danger,0.002,0.003,0.01,0.013,0.013,0.017,0.021,0.02,0.015,0.01,0.009,0.034
perceive,0.001,0.015,0.015,0.013,0.008,0.007,0.01,0.007,0.004,0.004,0.013,0.065
pay,0.002,0.006,0.005,0.009,0.01,0.008,0.01,0.011,0.013,0.012,0.015,0.011
attention,0.001,0.001,0.001,0.001,0.001,0.003,0.003,0.003,0.004,0.003,0.007,0.016
limit,0.006,0.006,0.008,0.009,0.009,0.008,0.008,0.009,0.01,0.011,0.011,0.01
##ter,0.001,0.002,0.005,0.007,0.008,0.012,0.013,0.015,0.019,0.023,0.031,0.006
##pel,0.004,0.008,0.008,0.008,0.007,0.007,0.013,0.014,0.012,0.009,0.007,0.017
threats,0.003,0.014,0.029,0.028,0.031,0.033,0.057,0.046,0.036,0.025,0.017,0.02
stick,0.004,0.013,0.038,0.067,0.071,0.077,0.085,0.088,0.068,0.055,0.049,0.047
j,0.002,0.003,0.006,0.007,0.01,0.01,0.011,0.013,0.014,0.016,0.02,0.022
##ut,0.0,0.002,0.009,0.01,0.014,0.015,0.015,0.014,0.005,0.002,0.011,0.041
pro,0.003,0.004,0.005,0.006,0.007,0.009,0.014,0.014,0.013,0.007,0.007,0.037
##tr,0.003,0.014,0.017,0.02,0.021,0.027,0.032,0.036,0.031,0.024,0.022,0.035
host,0.003,0.009,0.021,0.023,0.03,0.04,0.042,0.051,0.04,0.026,0.025,0.064
invalid,0.004,0.012,0.014,0.019,0.02,0.016,0.019,0.018,0.018,0.011,0.013,0.014
already,0.003,0.005,0.006,0.009,0.01,0.009,0.01,0.009,0.007,0.005,0.009,0.02
begun,0.001,0.007,0.009,0.012,0.009,0.008,0.014,0.015,0.017,0.009,0.012,0.009
enjoy,0.009,0.009,0.013,0.01,0.007,0.006,0.01,0.011,0.013,0.013,0.019,0.092
fond,0.005,0.002,0.003,0.01,0.016,0.017,0.019,0.02,0.016,0.011,0.016,0.002
approve,0.002,0.009,0.029,0.022,0.023,0.022,0.024,0.029,0.031,0.029,0.023,0.041
per,0.001,0.002,0.005,0.007,0.011,0.009,0.01,0.011,0.007,0.006,0.013,0.028
cent,0.001,0.01,0.022,0.025,0.02,0.018,0.021,0.02,0.016,0.013,0.012,0.035
##um,0.002,0.005,0.01,0.014,0.018,0.019,0.024,0.023,0.018,0.019,0.036,0.121
relation,0.002,0.009,0.022,0.037,0.039,0.031,0.031,0.022,0.011,0.005,0.005,0.085
attribute,0.002,0.005,0.01,0.017,0.026,0.024,0.027,0.029,0.028,0.027,0.023,0.023
definition,0.004,0.006,0.016,0.015,0.01,0.009,0.009,0.01,0.008,0.01,0.008,0.009
example,0.001,0.002,0.002,0.003,0.003,0.003,0.002,0.002,0.003,0.005,0.018,0.009
owner,0.005,0.018,0.022,0.021,0.022,0.018,0.022,0.019,0.015,0.008,0.003,0.015
##tub,0.004,0.019,0.035,0.067,0.09,0.104,0.089,0.088,0.078,0.077,0.091,0.018
rocky,0.007,0.022,0.014,0.022,0.021,0.023,0.024,0.027,0.022,0.009,0.005,0.016
##uts,0.0,0.01,0.018,0.011,0.013,0.01,0.01,0.01,0.02,0.041,0.084,0.128
sea,0.002,0.006,0.008,0.012,0.014,0.016,0.019,0.021,0.019,0.012,0.011,0.01
calculate,0.005,0.004,0.004,0.005,0.009,0.012,0.012,0.018,0.021,0.011,0.002,0.042
ability,0.002,0.002,0.003,0.004,0.008,0.009,0.011,0.008,0.008,0.006,0.008,0.01
portion,0.005,0.01,0.009,0.01,0.009,0.009,0.009,0.009,0.012,0.014,0.016,0.008
played,0.007,0.007,0.012,0.02,0.024,0.027,0.035,0.038,0.041,0.036,0.029,0.011
bringing,0.001,0.001,0.002,0.007,0.009,0.011,0.008,0.015,0.009,0.006,0.007,0.02
result,0.004,0.013,0.017,0.017,0.013,0.011,0.009,0.007,0.007,0.008,0.009,0.018
light,0.003,0.005,0.008,0.009,0.008,0.01,0.012,0.014,0.014,0.012,0.016,0.014
##est,0.001,0.005,0.009,0.025,0.032,0.039,0.044,0.037,0.029,0.022,0.026,0.025
most,0.002,0.002,0.005,0.007,0.008,0.007,0.009,0.008,0.006,0.006,0.01,0.013
1,0.003,0.005,0.013,0.01,0.008,0.009,0.012,0.013,0.012,0.014,0.025,0.017
##ival,0.006,0.023,0.06,0.076,0.078,0.078,0.064,0.059,0.051,0.047,0.04,0.057
normally,0.004,0.001,0.002,0.003,0.005,0.006,0.008,0.009,0.008,0.01,0.024,0.014
color,0.003,0.004,0.008,0.008,0.006,0.007,0.007,0.007,0.01,0.011,0.014,0.004
##less,0.003,0.003,0.004,0.008,0.01,0.012,0.016,0.016,0.016,0.016,0.021,0.008
odor,0.008,0.017,0.038,0.037,0.039,0.037,0.043,0.042,0.039,0.033,0.02,0.052
highly,0.008,0.006,0.005,0.007,0.006,0.006,0.008,0.009,0.01,0.006,0.006,0.006
##am,0.002,0.016,0.022,0.032,0.041,0.081,0.103,0.105,0.097,0.077,0.057,0.066
##mic,0.001,0.002,0.002,0.002,0.005,0.007,0.008,0.008,0.008,0.014,0.027,0.011
gas,0.002,0.003,0.004,0.005,0.004,0.004,0.004,0.004,0.005,0.006,0.012,0.006
universe,0.002,0.006,0.009,0.009,0.007,0.007,0.01,0.009,0.011,0.014,0.017,0.005
unit,0.005,0.008,0.009,0.011,0.013,0.014,0.017,0.018,0.02,0.023,0.027,0.009
cost,0.003,0.005,0.005,0.006,0.008,0.008,0.012,0.01,0.01,0.007,0.012,0.014
chance,0.003,0.01,0.021,0.025,0.027,0.024,0.027,0.031,0.026,0.022,0.018,0.017
rising,0.003,0.004,0.006,0.005,0.006,0.005,0.006,0.007,0.01,0.014,0.017,0.007
falling,0.003,0.005,0.005,0.005,0.005,0.006,0.005,0.004,0.007,0.008,0.011,0.007
wave,0.012,0.014,0.016,0.023,0.031,0.026,0.03,0.033,0.024,0.008,0.006,0.022
pattern,0.009,0.008,0.012,0.023,0.021,0.021,0.02,0.024,0.026,0.03,0.032,0.002
calendar,0.003,0.003,0.002,0.001,0.001,0.002,0.003,0.003,0.005,0.007,0.009,0.037
period,0.002,0.004,0.006,0.005,0.006,0.004,0.007,0.009,0.011,0.018,0.027,0.013
containing,0.006,0.007,0.008,0.009,0.007,0.007,0.011,0.014,0.019,0.026,0.042,0.021
36,0.001,0.002,0.002,0.002,0.003,0.004,0.004,0.004,0.003,0.004,0.007,0.015
##6,0.002,0.012,0.022,0.026,0.022,0.022,0.025,0.025,0.018,0.012,0.006,0.039
days,0.002,0.006,0.012,0.015,0.015,0.017,0.023,0.025,0.022,0.021,0.024,0.011
face,0.002,0.003,0.006,0.008,0.008,0.007,0.009,0.009,0.013,0.015,0.016,0.012
courage,0.006,0.017,0.048,0.048,0.053,0.04,0.041,0.034,0.028,0.021,0.018,0.033
medicine,0.0,0.002,0.004,0.005,0.01,0.01,0.008,0.007,0.005,0.004,0.009,0.018
organism,0.001,0.005,0.006,0.005,0.005,0.005,0.007,0.008,0.01,0.009,0.004,0.011
defend,0.003,0.001,0.005,0.003,0.004,0.005,0.004,0.006,0.007,0.011,0.013,0.004
disease,0.002,0.003,0.003,0.003,0.004,0.004,0.005,0.005,0.004,0.004,0.008,0.005
resist,0.002,0.01,0.012,0.015,0.017,0.012,0.016,0.011,0.007,0.006,0.018,0.025
statement,0.002,0.004,0.005,0.006,0.007,0.009,0.012,0.012,0.01,0.01,0.012,0.022
idea,0.003,0.006,0.01,0.013,0.014,0.012,0.021,0.021,0.016,0.014,0.032,0.016
expressed,0.007,0.016,0.022,0.024,0.027,0.023,0.023,0.02,0.014,0.01,0.014,0.023
perform,0.004,0.009,0.009,0.007,0.008,0.009,0.009,0.008,0.007,0.01,0.023,0.01
duty,0.006,0.014,0.019,0.032,0.037,0.04,0.037,0.035,0.028,0.024,0.017,0.062
offices,0.002,0.009,0.008,0.007,0.008,0.008,0.019,0.017,0.022,0.021,0.023,0.015
serve,0.003,0.007,0.01,0.012,0.018,0.024,0.024,0.021,0.016,0.009,0.003,0.015
function,0.005,0.009,0.011,0.013,0.016,0.018,0.025,0.025,0.017,0.012,0.012,0.031
soldier,0.003,0.007,0.012,0.014,0.016,0.013,0.016,0.015,0.011,0.007,0.012,0.029
member,0.003,0.005,0.006,0.008,0.009,0.011,0.014,0.013,0.012,0.016,0.027,0.01
forces,0.002,0.004,0.007,0.01,0.012,0.012,0.016,0.018,0.017,0.011,0.014,0.027
trained,0.001,0.001,0.003,0.004,0.003,0.002,0.001,0.001,0.001,0.001,0.004,0.001
shock,0.002,0.001,0.0,0.001,0.0,0.0,0.002,0.004,0.004,0.002,0.007,0.004
troops,0.004,0.006,0.009,0.009,0.008,0.008,0.011,0.01,0.008,0.007,0.011,0.022
hit,0.002,0.003,0.005,0.01,0.014,0.011,0.01,0.011,0.012,0.012,0.016,0.013
run,0.004,0.004,0.007,0.012,0.013,0.017,0.02,0.022,0.022,0.021,0.027,0.012
raids,0.001,0.004,0.003,0.003,0.004,0.005,0.02,0.016,0.02,0.02,0.035,0.004
master,0.001,0.002,0.002,0.006,0.013,0.01,0.01,0.01,0.011,0.012,0.028,0.005
overcome,0.011,0.014,0.013,0.017,0.021,0.024,0.038,0.04,0.031,0.024,0.025,0.062
deal,0.002,0.005,0.009,0.014,0.017,0.018,0.02,0.023,0.017,0.014,0.017,0.009
damaged,0.009,0.015,0.016,0.028,0.031,0.03,0.04,0.032,0.032,0.035,0.042,0.025
tissue,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.003,0.002,0.002,0.001,0.003
living,0.005,0.022,0.046,0.044,0.046,0.04,0.047,0.045,0.024,0.012,0.009,0.059
combat,0.001,0.006,0.01,0.008,0.008,0.007,0.011,0.007,0.007,0.006,0.008,0.012
##vo,0.001,0.002,0.003,0.005,0.006,0.005,0.006,0.005,0.005,0.004,0.007,0.012
##lve,0.0,0.001,0.003,0.008,0.01,0.011,0.015,0.012,0.003,0.003,0.016,0.046
directions,0.008,0.008,0.008,0.011,0.015,0.02,0.015,0.016,0.012,0.012,0.013,0.022
p,0.002,0.002,0.009,0.015,0.015,0.02,0.026,0.026,0.032,0.043,0.06,0.021
twice,0.005,0.005,0.01,0.008,0.005,0.005,0.01,0.015,0.013,0.008,0.006,0.007
great,0.003,0.005,0.007,0.009,0.009,0.009,0.01,0.008,0.008,0.008,0.016,0.009
Give,0.002,0.005,0.012,0.01,0.011,0.013,0.013,0.015,0.019,0.021,0.013,0.133
incentive,0.003,0.004,0.004,0.003,0.003,0.003,0.002,0.001,0.0,0.0,0.015,0.001
##voke,0.002,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.005,0.003
stir,0.006,0.018,0.03,0.032,0.027,0.02,0.016,0.013,0.007,0.007,0.011,0.011
urge,0.008,0.017,0.023,0.028,0.032,0.036,0.05,0.057,0.044,0.027,0.012,0.07
Fun,0.002,0.004,0.003,0.002,0.003,0.004,0.005,0.004,0.003,0.001,0.004,0.031
##eral,0.011,0.027,0.042,0.052,0.057,0.061,0.064,0.07,0.064,0.049,0.022,0.063
trade,0.002,0.004,0.006,0.011,0.012,0.01,0.014,0.016,0.013,0.01,0.011,0.007
funeral,0.001,0.002,0.003,0.003,0.003,0.003,0.007,0.008,0.004,0.002,0.016,0.015
director,0.004,0.005,0.01,0.013,0.015,0.012,0.014,0.017,0.017,0.015,0.016,0.028
i,0.003,0.01,0.018,0.032,0.044,0.052,0.055,0.066,0.058,0.041,0.022,0.09
catch,0.007,0.012,0.018,0.023,0.021,0.024,0.024,0.024,0.019,0.014,0.009,0.05
fire,0.005,0.007,0.011,0.012,0.015,0.013,0.011,0.012,0.01,0.012,0.02,0.01
Medicine,0.004,0.008,0.018,0.021,0.027,0.024,0.028,0.03,0.024,0.006,0.007,0.071
method,0.003,0.004,0.007,0.015,0.014,0.013,0.014,0.013,0.014,0.013,0.008,0.017
solving,0.004,0.006,0.011,0.01,0.011,0.008,0.009,0.01,0.007,0.006,0.002,0.058
problem,0.004,0.007,0.009,0.01,0.01,0.009,0.015,0.013,0.013,0.014,0.016,0.01
successful,0.001,0.003,0.004,0.006,0.006,0.006,0.007,0.006,0.006,0.007,0.009,0.005
reach,0.003,0.006,0.006,0.008,0.009,0.01,0.01,0.009,0.007,0.007,0.013,0.011
bench,0.002,0.004,0.011,0.012,0.01,0.009,0.014,0.013,0.012,0.01,0.01,0.012
##mark,0.004,0.01,0.016,0.022,0.024,0.027,0.036,0.039,0.031,0.024,0.013,0.021
develop,0.005,0.016,0.028,0.031,0.031,0.032,0.047,0.055,0.05,0.048,0.046,0.064
positive,0.01,0.037,0.047,0.048,0.051,0.05,0.048,0.048,0.038,0.032,0.034,0.032
way,0.003,0.007,0.01,0.017,0.018,0.028,0.038,0.039,0.036,0.028,0.021,0.017
somewhere,0.005,0.008,0.014,0.013,0.017,0.017,0.017,0.014,0.007,0.007,0.009,0.018
leave,0.004,0.002,0.002,0.005,0.007,0.008,0.007,0.005,0.005,0.004,0.008,0.006
brace,0.015,0.045,0.062,0.06,0.049,0.043,0.048,0.055,0.046,0.045,0.03,0.065
rope,0.006,0.01,0.014,0.017,0.024,0.025,0.037,0.034,0.031,0.023,0.025,0.02
wire,0.003,0.006,0.006,0.007,0.009,0.008,0.009,0.007,0.004,0.004,0.013,0.004
cable,0.003,0.004,0.008,0.009,0.009,0.007,0.006,0.006,0.007,0.006,0.01,0.012
spa,0.002,0.003,0.005,0.005,0.007,0.006,0.007,0.007,0.005,0.003,0.006,0.028
##r,0.002,0.003,0.003,0.004,0.005,0.008,0.011,0.013,0.016,0.019,0.024,0.006
constructed,0.003,0.01,0.007,0.015,0.01,0.01,0.012,0.013,0.012,0.007,0.012,0.008
underground,0.003,0.003,0.005,0.004,0.002,0.002,0.003,0.002,0.001,0.001,0.013,0.009
##way,0.001,0.007,0.008,0.006,0.003,0.004,0.007,0.008,0.014,0.009,0.007,0.006
trains,0.009,0.039,0.043,0.059,0.049,0.049,0.058,0.064,0.053,0.029,0.006,0.036
cars,0.004,0.008,0.009,0.01,0.011,0.01,0.019,0.016,0.013,0.007,0.005,0.013
disc,0.009,0.03,0.043,0.048,0.045,0.053,0.061,0.069,0.05,0.049,0.03,0.122
##ern,0.003,0.003,0.008,0.011,0.01,0.011,0.015,0.016,0.021,0.026,0.039,0.016
identify,0.005,0.014,0.013,0.016,0.013,0.012,0.013,0.017,0.012,0.007,0.004,0.032
because,0.001,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.005,0.005,0.011,0.031
experience,0.001,0.003,0.004,0.006,0.012,0.01,0.012,0.016,0.016,0.014,0.018,0.003
fully,0.001,0.003,0.004,0.005,0.007,0.006,0.009,0.01,0.013,0.016,0.019,0.013
own,0.002,0.004,0.007,0.018,0.023,0.022,0.019,0.016,0.013,0.011,0.013,0.016
very,0.002,0.002,0.004,0.005,0.007,0.008,0.011,0.014,0.012,0.013,0.019,0.012
