word,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12
polishing,0.005,0.005,0.019,0.022,0.011,0.114,0.056,0.028,0.004,0.004,0.005,0.391
perfect,0.03,0.016,0.031,0.028,0.017,0.013,0.018,0.018,0.022,0.014,0.08,0.747
central,0.026,0.027,0.023,0.022,0.012,0.009,0.011,0.023,0.023,0.016,0.077,0.408
approximately,0.034,0.008,0.03,0.013,0.01,0.012,0.013,0.03,0.031,0.017,0.079,0.101
sovereign,0.049,0.018,0.02,0.017,0.036,0.029,0.045,0.093,0.112,0.118,0.254,0.326
finger,0.054,0.049,0.041,0.06,0.016,0.018,0.006,0.008,0.008,0.011,0.06,0.686
next,0.046,0.02,0.014,0.012,0.009,0.013,0.012,0.011,0.013,0.017,0.031,0.785
thumb,0.052,0.009,0.044,0.033,0.069,0.041,0.035,0.059,0.075,0.071,0.143,0.603
department,0.02,0.019,0.029,0.024,0.028,0.016,0.027,0.036,0.058,0.048,0.12,0.481
consideration,0.068,0.015,0.024,0.036,0.023,0.031,0.037,0.053,0.045,0.081,0.234,0.673
excessive,0.041,0.032,0.043,0.025,0.041,0.023,0.025,0.033,0.046,0.071,0.23,0.456
hiring,0.053,0.012,0.09,0.018,0.014,0.038,0.053,0.136,0.149,0.149,0.473,0.895
annoying,0.081,0.025,0.061,0.019,0.046,0.046,0.044,0.068,0.112,0.093,0.18,0.748
sink,0.092,0.988,0.999,0.999,0.999,0.998,0.998,0.997,0.997,0.995,0.99,0.88
argument,0.059,0.033,0.038,0.044,0.029,0.022,0.025,0.031,0.047,0.038,0.087,0.762
aside,0.033,0.007,0.023,0.04,0.031,0.024,0.018,0.017,0.017,0.033,0.145,0.43
intend,0.005,0.982,0.999,0.998,0.998,0.998,0.997,0.996,0.995,0.993,0.984,0.789
register,0.83,0.991,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.997,0.957
participant,0.064,0.021,0.015,0.025,0.018,0.017,0.013,0.017,0.033,0.047,0.208,0.243
print,0.02,0.047,0.039,0.035,0.014,0.031,0.022,0.024,0.023,0.02,0.038,0.681
birds,0.043,0.027,0.049,0.084,0.047,0.033,0.023,0.014,0.014,0.01,0.081,0.599
posts,0.057,0.016,0.025,0.031,0.034,0.042,0.028,0.033,0.023,0.018,0.127,0.661
stable,0.023,0.015,0.021,0.011,0.009,0.01,0.008,0.014,0.014,0.015,0.037,0.6
arms,0.006,0.976,0.998,0.997,0.996,0.996,0.995,0.993,0.99,0.986,0.971,0.789
raised,0.02,0.01,0.006,0.011,0.013,0.015,0.013,0.025,0.033,0.031,0.086,0.614
stand,0.016,0.959,0.997,0.995,0.994,0.992,0.99,0.987,0.982,0.974,0.93,0.78
genetic,0.084,0.025,0.039,0.049,0.035,0.057,0.072,0.05,0.065,0.038,0.065,0.794
DNA,0.018,0.037,0.067,0.053,0.055,0.029,0.032,0.013,0.013,0.017,0.034,0.674
immersed,0.07,0.023,0.055,0.054,0.062,0.021,0.034,0.091,0.104,0.134,0.319,0.572
boiling,0.055,0.016,0.032,0.057,0.103,0.081,0.096,0.098,0.178,0.2,0.34,0.521
crops,0.042,0.036,0.124,0.079,0.071,0.035,0.053,0.067,0.077,0.062,0.164,0.878
channels,0.024,0.038,0.063,0.083,0.048,0.036,0.081,0.098,0.052,0.039,0.076,0.535
ditches,0.038,0.003,0.003,0.0,0.0,0.006,0.001,0.009,0.0,0.02,0.203,0.399
streams,0.012,0.02,0.035,0.045,0.018,0.06,0.033,0.019,0.013,0.028,0.106,0.384
tour,0.019,0.01,0.021,0.007,0.017,0.012,0.025,0.031,0.039,0.038,0.118,0.667
city,0.081,0.033,0.038,0.033,0.024,0.017,0.012,0.013,0.014,0.012,0.045,0.782
River,0.041,0.009,0.044,0.034,0.031,0.016,0.004,0.012,0.034,0.06,0.159,0.793
southern,0.044,0.024,0.031,0.018,0.028,0.022,0.027,0.037,0.056,0.066,0.188,0.713
England,0.005,0.982,0.999,0.998,0.998,0.998,0.997,0.996,0.996,0.994,0.987,0.851
chart,0.009,0.007,0.012,0.043,0.027,0.019,0.005,0.028,0.067,0.036,0.064,0.708
dimensions,0.063,0.025,0.047,0.094,0.074,0.081,0.065,0.053,0.045,0.028,0.188,0.675
movements,0.03,0.009,0.007,0.001,0.001,0.005,0.012,0.017,0.018,0.022,0.073,0.843
Take,0.75,0.99,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.994,0.957
vital,0.016,0.008,0.011,0.019,0.003,0.01,0.007,0.003,0.008,0.01,0.091,0.602
inadequate,0.045,0.039,0.051,0.019,0.016,0.002,0.012,0.003,0.031,0.063,0.206,0.251
chin,0.012,0.03,0.04,0.012,0.008,0.007,0.022,0.06,0.045,0.023,0.056,0.477
untrue,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
winding,0.066,0.042,0.055,0.012,0.016,0.007,0.012,0.041,0.057,0.047,0.082,0.823
twisting,0.031,0.024,0.024,0.036,0.017,0.069,0.022,0.014,0.01,0.022,0.071,0.587
compensate,0.023,0.038,0.022,0.01,0.048,0.006,0.01,0.023,0.04,0.069,0.242,0.821
signals,0.044,0.008,0.017,0.017,0.026,0.017,0.031,0.05,0.061,0.058,0.103,0.837
code,0.062,0.021,0.034,0.048,0.032,0.029,0.04,0.038,0.047,0.037,0.075,0.802
arm,0.041,0.024,0.015,0.015,0.016,0.011,0.011,0.02,0.014,0.01,0.034,0.673
hail,0.043,0.009,0.026,0.005,0.022,0.016,0.016,0.003,0.005,0.012,0.058,0.76
snow,0.034,0.014,0.021,0.01,0.029,0.014,0.02,0.022,0.039,0.029,0.108,0.547
lightning,0.059,0.01,0.003,0.006,0.005,0.011,0.02,0.014,0.01,0.049,0.135,0.22
rain,0.015,0.983,0.998,0.998,0.998,0.997,0.996,0.995,0.993,0.99,0.978,0.744
built,0.045,0.01,0.017,0.013,0.014,0.015,0.022,0.028,0.022,0.018,0.061,0.802
terminal,0.266,0.989,0.999,0.999,0.999,0.999,0.998,0.998,0.997,0.996,0.991,0.843
phase,0.032,0.038,0.045,0.02,0.015,0.007,0.016,0.041,0.041,0.019,0.093,0.751
let,0.003,0.984,0.998,0.998,0.998,0.997,0.996,0.994,0.992,0.988,0.977,0.818
champion,0.014,0.006,0.01,0.006,0.016,0.018,0.02,0.011,0.006,0.008,0.06,0.543
advantage,0.035,0.015,0.019,0.02,0.015,0.017,0.022,0.045,0.066,0.067,0.195,0.611
changes,0.032,0.041,0.046,0.034,0.024,0.016,0.019,0.023,0.014,0.017,0.048,0.77
starts,0.015,0.011,0.023,0.017,0.02,0.011,0.017,0.018,0.046,0.04,0.15,0.568
flying,0.033,0.012,0.016,0.019,0.011,0.012,0.017,0.017,0.017,0.018,0.076,0.647
He,0.806,0.99,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.995,0.967
said,0.033,0.025,0.023,0.023,0.028,0.036,0.03,0.021,0.033,0.028,0.087,0.739
needs,0.012,0.967,0.998,0.997,0.996,0.995,0.993,0.99,0.987,0.98,0.959,0.724
technology,0.031,0.014,0.021,0.014,0.014,0.024,0.045,0.051,0.048,0.029,0.079,0.768
laced,0.021,0.003,0.001,0.017,0.017,0.0,0.01,0.012,0.007,0.015,0.086,0.02
Nasdaq,0.04,0.017,0.011,0.024,0.024,0.022,0.04,0.047,0.072,0.063,0.192,0.535
Composite,0.044,0.017,0.042,0.096,0.08,0.07,0.08,0.11,0.092,0.07,0.051,0.793
Index,0.018,0.027,0.026,0.008,0.007,0.007,0.005,0.01,0.014,0.025,0.023,0.791
.IXIC,0.019,0.002,0.002,0.001,0.003,0.014,0.021,0.004,0.017,0.032,0.071,0.654
0.11,0.085,0.071,0.173,0.092,0.063,0.032,0.03,0.047,0.074,0.066,0.135,0.845
percent,0.024,0.012,0.01,0.008,0.009,0.021,0.015,0.017,0.031,0.032,0.037,0.801
broad,0.014,0.009,0.003,0.013,0.008,0.005,0.021,0.019,0.026,0.025,0.057,0.544
Standard,0.002,0.984,0.999,0.998,0.998,0.998,0.997,0.996,0.995,0.993,0.983,0.825
Poor,0.018,0.975,0.999,0.998,0.998,0.998,0.997,0.996,0.994,0.99,0.973,0.789
500,0.039,0.006,0.008,0.077,0.056,0.057,0.045,0.055,0.092,0.076,0.085,0.682
.SPX,0.032,0.014,0.022,0.011,0.012,0.012,0.019,0.013,0.009,0.033,0.061,0.733
3,0.2,0.989,0.999,0.999,0.999,0.998,0.998,0.997,0.996,0.995,0.989,0.885
It,0.809,0.991,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.995,0.798
huge,0.053,0.017,0.03,0.011,0.017,0.012,0.01,0.002,0.01,0.022,0.055,0.621
black,0.036,0.019,0.021,0.02,0.01,0.01,0.011,0.01,0.011,0.015,0.038,0.58
Arthur,0.13,0.985,0.999,0.999,0.999,0.999,0.999,0.998,0.997,0.996,0.993,0.911
Jr.,0.04,0.022,0.043,0.022,0.042,0.014,0.019,0.029,0.055,0.069,0.216,0.792
controlled,0.026,0.024,0.032,0.024,0.02,0.018,0.013,0.013,0.011,0.017,0.076,0.779
paper,0.027,0.015,0.022,0.02,0.019,0.011,0.014,0.037,0.053,0.05,0.166,0.645
since,0.013,0.976,0.998,0.997,0.996,0.995,0.994,0.992,0.99,0.984,0.965,0.891
scandal,0.057,0.018,0.028,0.018,0.024,0.009,0.014,0.016,0.037,0.053,0.118,0.767
Chairman,0.535,0.989,0.999,0.999,0.999,0.999,0.998,0.998,0.998,0.996,0.992,0.862
William,0.005,0.977,0.999,0.998,0.998,0.998,0.997,0.996,0.995,0.993,0.985,0.813
there,0.677,0.99,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.997,0.993,0.925
cop,0.034,0.032,0.01,0.027,0.011,0.0,0.001,0.007,0.013,0.019,0.017,0.748
I,0.789,0.992,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.997,0.993,0.961
think,0.032,0.026,0.99,0.986,0.981,0.973,0.963,0.947,0.927,0.881,0.568,0.789
Vivendi,0.825,0.992,1.0,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.996,0.969
shares,0.032,0.025,0.036,0.033,0.033,0.014,0.044,0.059,0.086,0.101,0.205,0.718
euros,0.117,0.055,0.041,0.041,0.014,0.026,0.017,0.013,0.009,0.036,0.086,0.654
Paris,0.027,0.02,0.023,0.012,0.004,0.004,0.007,0.008,0.014,0.015,0.058,0.771
Monday,0.054,0.04,0.041,0.05,0.033,0.03,0.023,0.028,0.038,0.039,0.047,0.751
In,0.815,0.991,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.994,0.935
New,0.547,0.988,0.999,0.999,0.999,0.999,0.998,0.998,0.997,0.996,0.992,0.898
York,0.039,0.038,0.026,0.036,0.019,0.013,0.015,0.013,0.011,0.011,0.065,0.617
were,0.062,0.029,0.045,0.043,0.034,0.041,0.034,0.036,0.033,0.044,0.095,0.773
$,0.039,0.014,0.017,0.01,0.009,0.008,0.01,0.015,0.025,0.034,0.087,0.844
Myanmar,0.834,0.992,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.995,0.888
pro,0.056,0.043,0.046,0.067,0.05,0.048,0.049,0.045,0.072,0.081,0.061,0.567
democracy,0.09,0.01,0.006,0.006,0.005,0.007,0.007,0.022,0.016,0.012,0.047,0.623
Aung,0.352,0.988,0.999,0.999,0.999,0.999,0.998,0.998,0.997,0.996,0.99,0.85
San,0.012,0.967,0.998,0.997,0.996,0.995,0.994,0.993,0.991,0.986,0.971,0.781
Suu,0.021,0.985,0.999,0.999,0.998,0.998,0.997,0.996,0.995,0.993,0.984,0.877
Kyi,0.017,0.984,0.999,0.999,0.999,0.998,0.997,0.996,0.995,0.992,0.983,0.889
late,0.035,0.027,0.026,0.021,0.017,0.012,0.013,0.013,0.02,0.017,0.012,0.748
Friday,0.042,0.024,0.019,0.03,0.018,0.017,0.016,0.022,0.027,0.031,0.039,0.775
detention,0.049,0.026,0.024,0.052,0.01,0.014,0.012,0.012,0.036,0.036,0.169,0.745
recovering,0.069,0.011,0.016,0.036,0.011,0.02,0.013,0.017,0.017,0.015,0.05,0.618
surgery,0.043,0.012,0.015,0.025,0.015,0.007,0.018,0.021,0.025,0.018,0.054,0.865
hospital,0.111,0.016,0.018,0.02,0.017,0.01,0.01,0.01,0.017,0.023,0.04,0.655
her,0.037,0.017,0.014,0.023,0.018,0.025,0.028,0.031,0.041,0.044,0.085,0.682
arrest,0.04,0.022,0.039,0.046,0.07,0.046,0.044,0.04,0.07,0.061,0.154,0.595
she,0.004,0.979,0.998,0.998,0.997,0.996,0.995,0.993,0.991,0.986,0.974,0.886
underwent,0.028,0.01,0.024,0.018,0.027,0.016,0.023,0.027,0.1,0.107,0.263,0.641
spokesman,0.008,0.977,0.998,0.998,0.998,0.997,0.996,0.994,0.993,0.989,0.974,0.824
declined,0.039,0.016,0.028,0.02,0.02,0.011,0.016,0.021,0.03,0.03,0.078,0.75
Thursday,0.02,0.875,0.995,0.994,0.992,0.99,0.988,0.984,0.978,0.968,0.913,0.89
John,0.226,0.987,0.999,0.999,0.999,0.999,0.999,0.998,0.997,0.996,0.992,0.912
commission,0.056,0.032,0.036,0.026,0.028,0.029,0.024,0.041,0.075,0.069,0.163,0.582
Washington,0.432,0.988,0.999,0.999,0.999,0.999,0.998,0.998,0.997,0.996,0.992,0.907
Mr.,0.822,0.992,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.994,0.927
Bremer,0.86,0.992,1.0,1.0,1.0,0.999,0.999,0.999,0.999,0.998,0.996,0.885
initiative,0.061,0.014,0.01,0.012,0.026,0.015,0.028,0.04,0.052,0.044,0.139,0.704
launch,0.043,0.03,0.028,0.031,0.016,0.014,0.014,0.018,0.02,0.019,0.038,0.74
US$,0.044,0.032,0.024,0.018,0.031,0.012,0.031,0.055,0.05,0.034,0.048,0.785
70,0.105,0.988,0.999,0.999,0.999,0.998,0.998,0.997,0.996,0.994,0.986,0.854
million,0.04,0.03,0.034,0.03,0.045,0.028,0.023,0.017,0.015,0.018,0.051,0.837
nationwide,0.028,0.022,0.008,0.012,0.017,0.006,0.005,0.011,0.037,0.032,0.108,0.821
weeks,0.03,0.017,0.023,0.016,0.019,0.013,0.018,0.026,0.04,0.041,0.126,0.581
neighborhoods,0.003,0.011,0.075,0.038,0.073,0.033,0.028,0.049,0.035,0.021,0.079,0.695
build,0.105,0.986,0.999,0.999,0.999,0.999,0.998,0.997,0.996,0.995,0.988,0.917
projects,0.004,0.036,0.04,0.012,0.023,0.008,0.006,0.013,0.009,0.01,0.009,0.653
he,0.009,0.966,0.997,0.996,0.995,0.993,0.991,0.988,0.983,0.974,0.944,0.806
would,0.044,0.035,0.041,0.042,0.028,0.014,0.015,0.018,0.017,0.019,0.056,0.833
Iraq,0.279,0.986,0.999,0.999,0.999,0.999,0.998,0.998,0.997,0.997,0.992,0.903
gave,0.03,0.029,0.024,0.021,0.012,0.011,0.01,0.015,0.014,0.018,0.091,0.674
afternoon,0.036,0.04,0.034,0.029,0.025,0.02,0.012,0.011,0.021,0.047,0.17,0.624
trading,0.037,0.029,0.027,0.02,0.021,0.011,0.013,0.017,0.028,0.052,0.185,0.643
Europe,0.023,0.909,0.996,0.995,0.994,0.992,0.991,0.987,0.983,0.975,0.94,0.778
France,0.339,0.988,0.999,0.999,0.999,0.999,0.999,0.998,0.997,0.997,0.992,0.903
advanced,0.043,0.018,0.023,0.011,0.015,0.009,0.014,0.023,0.026,0.031,0.066,0.727
Britain,0.602,0.989,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.995,0.848
100,0.019,0.986,0.999,0.999,0.998,0.998,0.997,0.996,0.994,0.992,0.981,0.845
gained,0.05,0.019,0.023,0.021,0.019,0.013,0.017,0.021,0.03,0.05,0.117,0.809
0.7,0.056,0.014,0.037,0.017,0.017,0.004,0.006,0.011,0.009,0.032,0.13,0.783
while,0.031,0.405,0.993,0.991,0.989,0.986,0.981,0.974,0.961,0.935,0.8,0.783
Germany,0.552,0.988,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.997,0.994,0.876
index,0.051,0.016,0.014,0.022,0.019,0.016,0.01,0.009,0.012,0.02,0.051,0.619
rose,0.026,0.026,0.027,0.025,0.015,0.016,0.011,0.02,0.036,0.023,0.085,0.553
1.3,0.032,0.018,0.004,0.005,0.002,0.002,0.01,0.02,0.027,0.017,0.051,0.665
0.2,0.015,0.001,0.007,0.004,0.006,0.005,0.008,0.006,0.0,0.003,0.006,0.826
later,0.071,0.03,0.039,0.031,0.016,0.019,0.013,0.013,0.014,0.016,0.146,0.721
learned,0.072,0.032,0.043,0.023,0.015,0.014,0.006,0.015,0.043,0.069,0.206,0.755
incident,0.043,0.011,0.024,0.011,0.013,0.025,0.015,0.018,0.021,0.026,0.092,0.713
was,0.037,0.008,0.858,0.853,0.83,0.776,0.696,0.582,0.462,0.297,0.164,0.721
found,0.053,0.013,0.019,0.029,0.023,0.03,0.022,0.023,0.025,0.028,0.05,0.73
powerful,0.071,0.028,0.037,0.031,0.03,0.025,0.028,0.029,0.03,0.049,0.087,0.719
Kerry,0.832,0.992,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.995,0.926
Bob,0.053,0.02,0.037,0.047,0.035,0.049,0.051,0.075,0.149,0.2,0.269,0.471
Graham,0.703,0.987,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.995,0.952
speak,0.011,0.976,0.998,0.998,0.997,0.997,0.996,0.994,0.991,0.988,0.971,0.886
shows,0.046,0.013,0.028,0.024,0.024,0.017,0.018,0.01,0.012,0.019,0.094,0.588
Florida,0.295,0.986,0.999,0.999,0.999,0.999,0.999,0.998,0.997,0.996,0.992,0.882
also,0.05,0.754,0.993,0.991,0.989,0.985,0.98,0.971,0.96,0.938,0.824,0.817
genes,0.015,0.002,0.021,0.016,0.006,0.007,0.004,0.002,0.012,0.017,0.069,0.905
Y,0.004,0.978,0.998,0.998,0.998,0.997,0.996,0.996,0.993,0.99,0.974,0.816
may,0.032,0.026,0.025,0.028,0.022,0.017,0.013,0.011,0.015,0.019,0.035,0.767
gender,0.008,0.013,0.011,0.012,0.005,0.005,0.01,0.014,0.023,0.02,0.006,0.678
differences,0.068,0.029,0.033,0.032,0.01,0.011,0.026,0.032,0.048,0.03,0.137,0.63
One,0.808,0.991,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.995,0.893
studied,0.051,0.037,0.047,0.023,0.038,0.004,0.019,0.026,0.073,0.055,0.161,0.757
defining,0.028,0.989,0.999,0.999,0.999,0.999,0.999,0.998,0.997,0.996,0.989,0.786
But,0.818,0.992,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.996,0.832
earlier,0.038,0.02,0.021,0.018,0.013,0.014,0.011,0.017,0.022,0.029,0.074,0.76
am,0.031,0.008,0.025,0.048,0.023,0.026,0.031,0.026,0.026,0.026,0.032,0.443
themselves,0.05,0.015,0.02,0.016,0.012,0.012,0.013,0.017,0.02,0.036,0.059,0.746
south,0.293,0.988,0.999,0.999,0.999,0.999,0.998,0.998,0.997,0.996,0.992,0.883
east,0.024,0.016,0.028,0.023,0.014,0.01,0.011,0.016,0.032,0.047,0.063,0.703
a.m.,0.034,0.016,0.01,0.015,0.022,0.01,0.012,0.017,0.018,0.028,0.104,0.789
p.m.,0.026,0.014,0.038,0.026,0.019,0.015,0.025,0.015,0.013,0.013,0.094,0.691
southeast,0.043,0.009,0.014,0.028,0.009,0.018,0.027,0.046,0.057,0.026,0.099,0.635
Jones,0.078,0.039,0.042,0.044,0.063,0.066,0.056,0.047,0.04,0.043,0.139,0.592
analyst,0.033,0.019,0.029,0.026,0.029,0.007,0.008,0.01,0.032,0.028,0.093,0.689
Grant,0.232,0.988,0.999,0.999,0.999,0.999,0.999,0.998,0.997,0.996,0.993,0.942
we,0.012,0.949,0.996,0.995,0.994,0.992,0.989,0.985,0.979,0.968,0.926,0.8
whether,0.098,0.011,0.016,0.01,0.011,0.01,0.014,0.025,0.036,0.039,0.205,0.758
U.N.,0.8,0.991,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.994,0.911
Yes,0.821,0.991,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.996,0.832
sought,0.051,0.015,0.026,0.02,0.023,0.013,0.027,0.047,0.075,0.068,0.203,0.772
United,0.006,0.972,0.998,0.997,0.997,0.996,0.995,0.994,0.991,0.988,0.974,0.69
States,0.023,0.924,0.995,0.994,0.994,0.992,0.989,0.985,0.98,0.971,0.937,0.728
Feb.,0.048,0.004,0.005,0.013,0.017,0.014,0.023,0.014,0.04,0.02,0.025,0.782
25,0.118,0.988,0.999,0.999,0.999,0.998,0.998,0.997,0.996,0.994,0.988,0.913
Wednesday,0.045,0.044,0.04,0.046,0.027,0.027,0.025,0.029,0.037,0.04,0.046,0.718
Catholic,0.684,0.986,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.997,0.994,0.947
distribute,0.038,0.033,0.031,0.063,0.016,0.028,0.004,0.009,0.029,0.04,0.192,0.727
his,0.037,0.005,0.967,0.959,0.949,0.931,0.904,0.85,0.758,0.594,0.286,0.704
won,0.037,0.04,0.057,0.056,0.043,0.055,0.055,0.046,0.068,0.057,0.081,0.587
both,0.014,0.979,0.998,0.998,0.998,0.997,0.996,0.994,0.992,0.989,0.979,0.784
singing,0.056,0.029,0.036,0.028,0.067,0.03,0.04,0.071,0.161,0.133,0.219,0.342
If,0.772,0.991,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.996,0.817
Could,0.71,0.988,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.997,0.993,0.957
She,0.786,0.991,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.996,0.969
evening,0.016,0.013,0.021,0.012,0.008,0.009,0.007,0.009,0.026,0.032,0.151,0.78
Governor,0.188,0.988,0.999,0.999,0.999,0.998,0.998,0.998,0.997,0.995,0.989,0.871
estimated,0.029,0.021,0.038,0.046,0.043,0.025,0.043,0.045,0.063,0.08,0.224,0.742
yesterday,0.057,0.017,0.024,0.024,0.017,0.013,0.015,0.019,0.023,0.031,0.082,0.748
fires,0.04,0.032,0.022,0.017,0.015,0.013,0.012,0.022,0.031,0.031,0.064,0.564
could,0.053,0.034,0.042,0.065,0.041,0.041,0.029,0.03,0.041,0.042,0.092,0.825
nearly,0.058,0.032,0.034,0.04,0.025,0.028,0.019,0.031,0.022,0.029,0.098,0.713
billion,0.007,0.975,0.998,0.998,0.997,0.996,0.995,0.993,0.99,0.986,0.97,0.862
State,0.163,0.987,0.999,0.999,0.998,0.998,0.998,0.997,0.996,0.994,0.99,0.819
officials,0.014,0.953,0.997,0.996,0.994,0.992,0.99,0.987,0.983,0.974,0.935,0.714
Corp.,0.041,0.01,0.019,0.017,0.027,0.014,0.025,0.045,0.059,0.077,0.203,0.601
pledged,0.03,0.028,0.048,0.022,0.025,0.057,0.071,0.086,0.12,0.111,0.329,0.702
least,0.061,0.044,0.056,0.062,0.033,0.047,0.022,0.028,0.043,0.055,0.152,0.681
5,0.219,0.989,0.999,0.999,0.999,0.998,0.998,0.997,0.997,0.995,0.989,0.877
requested,0.049,0.041,0.04,0.065,0.047,0.036,0.019,0.024,0.042,0.058,0.206,0.814
funds,0.038,0.01,0.011,0.018,0.017,0.034,0.029,0.046,0.045,0.041,0.099,0.734
South,0.768,0.989,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.997,0.994,0.947
Asia,0.06,0.986,0.999,0.999,0.999,0.999,0.998,0.998,0.997,0.996,0.992,0.869
1.1,0.028,0.032,0.034,0.015,0.013,0.006,0.009,0.014,0.019,0.018,0.092,0.741
infected,0.042,0.017,0.016,0.015,0.018,0.01,0.017,0.024,0.024,0.014,0.04,0.599
Of,0.772,0.992,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.997,0.994,0.925
hour,0.05,0.036,0.026,0.023,0.022,0.015,0.016,0.022,0.015,0.008,0.039,0.602
Israeli,0.684,0.988,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.997,0.994,0.955
helicopter,0.05,0.03,0.035,0.033,0.022,0.011,0.01,0.015,0.036,0.046,0.177,0.475
fired,0.041,0.019,0.014,0.022,0.012,0.023,0.01,0.011,0.013,0.015,0.058,0.834
missiles,0.065,0.01,0.028,0.026,0.054,0.05,0.039,0.052,0.061,0.067,0.138,0.744
Gaza,0.02,0.971,0.998,0.998,0.998,0.997,0.997,0.996,0.994,0.991,0.983,0.861
City,0.015,0.982,0.999,0.998,0.998,0.998,0.997,0.996,0.995,0.993,0.986,0.784
Hamas,0.807,0.991,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.997,0.994,0.92
five,0.015,0.961,0.997,0.996,0.995,0.993,0.991,0.987,0.982,0.974,0.94,0.787
Palestinian,0.357,0.986,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.997,0.993,0.931
sources,0.025,0.011,0.015,0.004,0.011,0.005,0.024,0.039,0.063,0.06,0.151,0.608
Executive,0.427,0.987,0.999,0.999,0.999,0.999,0.998,0.998,0.997,0.996,0.991,0.893
finding,0.015,0.047,0.029,0.025,0.018,0.015,0.022,0.021,0.025,0.027,0.043,0.7
merchandising,0.03,0.016,0.011,0.04,0.013,0.033,0.013,0.009,0.005,0.002,0.021,0.707
officer,0.031,0.015,0.031,0.026,0.037,0.021,0.026,0.037,0.059,0.053,0.156,0.763
ones,0.039,0.015,0.027,0.047,0.013,0.027,0.022,0.027,0.008,0.007,0.035,0.894
prices,0.04,0.009,0.01,0.01,0.018,0.011,0.024,0.032,0.059,0.056,0.151,0.567
cheap,0.024,0.004,0.032,0.013,0.011,0.006,0.006,0.004,0.011,0.008,0.057,0.794
hotel,0.054,0.009,0.024,0.018,0.021,0.014,0.015,0.02,0.026,0.052,0.138,0.748
deals,0.104,0.029,0.05,0.019,0.007,0.006,0.005,0.013,0.011,0.017,0.044,0.777
decades,0.049,0.024,0.025,0.024,0.015,0.008,0.007,0.015,0.03,0.034,0.123,0.337
killed,0.029,0.013,0.02,0.029,0.016,0.028,0.018,0.018,0.026,0.027,0.091,0.63
"10,000",0.017,0.009,0.006,0.006,0.003,0.008,0.012,0.007,0.018,0.038,0.203,0.519
resource,0.009,0.009,0.014,0.011,0.026,0.02,0.024,0.02,0.016,0.025,0.028,0.647
rich,0.063,0.02,0.029,0.058,0.044,0.039,0.03,0.023,0.031,0.02,0.061,0.466
province,0.043,0.014,0.012,0.014,0.021,0.016,0.023,0.03,0.075,0.085,0.151,0.66
civilians,0.079,0.036,0.045,0.044,0.038,0.017,0.022,0.016,0.024,0.027,0.085,0.649
More,0.799,0.991,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.995,0.935
hurricane,0.111,0.038,0.084,0.064,0.053,0.095,0.123,0.112,0.115,0.073,0.062,0.726
storm,0.042,0.017,0.018,0.023,0.031,0.027,0.023,0.015,0.029,0.041,0.035,0.366
season,0.075,0.02,0.024,0.021,0.015,0.017,0.016,0.013,0.014,0.026,0.029,0.836
mid,0.04,0.006,0.012,0.012,0.005,0.004,0.005,0.005,0.007,0.007,0.023,0.758
Texas,0.552,0.987,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.997,0.993,0.893
coast,0.076,0.027,0.033,0.028,0.035,0.014,0.014,0.023,0.047,0.064,0.189,0.797
July,0.013,0.985,0.999,0.999,0.998,0.998,0.997,0.997,0.995,0.994,0.986,0.902
15,0.38,0.991,0.999,0.999,0.999,0.999,0.998,0.998,0.997,0.996,0.991,0.921
