word,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12
consuming,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
récréationnelles,0.034,0.007,0.016,0.016,0.034,0.003,0.011,0.011,0.015,0.025,0.07,0.614
preparation,0.189,0.059,0.05,0.061,0.088,0.148,0.109,0.105,0.086,0.048,0.11,0.581
Applause,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
answered,0.061,0.025,0.031,0.031,0.023,0.034,0.03,0.017,0.028,0.035,0.026,0.619
considerably,0.008,0.029,0.058,0.022,0.05,0.003,0.005,0.003,0.011,0.01,0.006,0.625
enabling,0.098,0.011,0.007,0.008,0.001,0.01,0.009,0.003,0.003,0.006,0.014,0.231
presented,0.026,0.011,0.009,0.004,0.011,0.006,0.007,0.007,0.017,0.021,0.074,0.771
freedoms,0.003,0.035,0.016,0.012,0.01,0.005,0.015,0.009,0.013,0.015,0.033,0.676
efficiency,0.048,0.004,0.005,0.014,0.01,0.02,0.031,0.024,0.037,0.017,0.046,0.74
effectiveness,0.079,0.009,0.025,0.02,0.015,0.043,0.029,0.014,0.013,0.02,0.059,0.774
Action,0.839,0.991,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.996,0.952
faint,0.053,0.066,0.074,0.043,0.046,0.064,0.038,0.051,0.023,0.008,0.096,0.83
hearted,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
replied,0.014,0.003,0.002,0.002,0.0,0.009,0.001,0.001,0.034,0.088,0.133,0.729
repeat,0.005,0.981,0.999,0.998,0.998,0.998,0.997,0.996,0.995,0.993,0.986,0.916
inescapable,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
poverty,0.006,0.017,0.036,0.021,0.031,0.016,0.013,0.01,0.015,0.015,0.046,0.57
underdevelopment,0.051,0.043,0.017,0.014,0.01,0.017,0.018,0.017,0.021,0.02,0.042,0.811
realities,0.024,0.051,0.082,0.066,0.035,0.007,0.008,0.016,0.013,0.032,0.106,0.758
curiously,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
attracted,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B5,0.86,0.991,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.995,0.874
0794/2000,0.155,0.068,0.1,0.014,0.007,0.016,0.018,0.044,0.061,0.124,0.061,0.654
Medina,0.08,0.043,0.026,0.021,0.009,0.042,0.036,0.044,0.033,0.027,0.037,0.769
Linkohr,0.067,0.04,0.027,0.02,0.005,0.008,0.001,0.014,0.027,0.045,0.061,0.814
Fava,0.039,0.038,0.011,0.005,0.002,0.005,0.017,0.068,0.061,0.057,0.195,0.659
Socialists,0.011,0.022,0.029,0.053,0.032,0.038,0.018,0.011,0.004,0.005,0.107,0.455
kidnap,0.028,0.01,0.002,0.007,0.006,0.026,0.012,0.004,0.01,0.001,0.01,0.711
